case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.150701,0.800000,0.829206,20380962.366591,4.606699,0.150701,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.191556,0.273326
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.160604,-0.600000,-0.716076,20615625.495223,4.773840,0.160604,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.944230,-0.923375
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.176255,1.100000,1.106388,20938996.994755,5.029035,0.176255,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,1.198490,1.150322
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.200148,-0.900000,-0.972017,21352422.195401,5.400093,0.200148,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.856879,-0.937763
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.226180,0.400000,1.387875,21724302.787172,5.782812,0.226180,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,1.105982,1.075677
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.270607,-0.700000,-1.022998,22228252.064840,6.393739,0.270607,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1.457244,-1.433378
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.328752,1.600000,1.426006,22718518.750602,7.130032,0.328752,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,1.328720,1.366056
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.384910,-1.300000,-1.090371,23068157.541730,7.788364,0.384910,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.566395,-0.586056
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.209709,1.040000,0.673364,20357765.030703,5.611365,0.209709,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,11.108480,0.708036
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.240371,-0.780000,-1.211400,20853620.689063,6.057002,0.240371,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-3.847034,-1.649663
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.303129,1.430000,2.414034,21601199.535053,6.897240,0.303129,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-7.249237,2.802993
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.460253,-1.170000,-5.228690,22697219.032111,8.714483,0.460253,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-12.950888,-5.691517
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.816570,0.520000,11.413095,23778660.695971,12.013784,0.816570,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,13.494481,6.156057
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.296241,-0.910000,20.034011,24387119.221607,17.420879,1.296241,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,20.419078,8.971756
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.041175,2.080000,-41.030488,24817940.490709,25.644055,2.041175,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-56.240401,-56.912908
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.788866,-1.690000,68.938084,25038198.913192,31.335493,2.788866,9.957871,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,35.265521,51.877299
