receive_time_s,tau_est_s,tau_true_s,carrier_phase_rad,carrier_frequency_hz,fd_true_hz,post_corr_snr_db,carrier_lock_metric
0.000499,0.00034619999999999974,0.00034600246776936007,302.8241557561486,48094.5,48000.12107086288,8.479576435314069,0.061253995623429584
0.0014990000000000001,0.00034619999999999974,0.0003460064678155238,605.0600846027678,48000.88077968873,47998.32107086288,18.156612455884403,-0.12008827626042487
0.002499,0.0003462903513450814,0.00034601046786168755,907.4547815279411,48055.818885333305,47996.52107086288,17.420770876204767,0.4876774611562491
0.003499,0.00034644910421954204,0.00034601446790785126,1207.466621836685,47844.13523786147,47994.72107086304,18.46594131607474,0.1543479862480797
0.0044989999999999995,0.00034644910421954204,0.0003460184679540149,1511.2922401011056,48253.88770851269,47992.921070863034,17.220947851349123,-0.9799562089908188
0.005499,0.00034644910421954204,0.0003460224680001786,1812.7906034468194,48086.416136807755,47991.12107086303,17.20020341547921,-0.7040652007503129
0.006499,0.00034644910421954204,0.00034602646804634234,2113.407198324775,47946.07832650145,47989.321070863036,16.948921346401743,-0.9723326526916288
0.0074990000000000005,0.0003464695139840609,0.00034603046809250605,2415.2746279488206,48065.44147420879,47987.521070863324,17.050768464497892,0.9487561583774992
0.008499,0.0003464695139840609,0.00034603446813866976,2715.4081288580132,47869.19153339493,47985.72107086274,18.24649268757569,0.03094514126773345
0.009499,0.0003464695139840609,0.0003460384681848335,3018.9633212475464,48210.848093784436,47983.92107086318,17.16816352390979,-0.571432371995516
0.010499000000000001,0.0003464695139840609,0.00034604246823099723,3318.0947797558756,47709.711532109824,47982.12107086273,17.16098951679101,-0.6154031502677118
0.011498999999999999,0.0003464695139840609,0.0003460464682771609,3620.0488429850293,47956.02047338144,47980.32107086318,15.272647216633645,-0.4637852860553484
0.012499,0.00034641949934707936,0.0003460504683233246,3922.23836114389,48000.3949196194,47978.521070862735,17.30935455623719,0.1719561026873177
0.013499,0.00034652550202269954,0.0003460544683694883,4223.199218646774,47925.536084235144,47976.72107086318,17.622701577756178,0.9263190319216247
0.014499,0.00034658816788917744,0.000346058468415652,4525.824554595888,48103.32029429678,47974.921070862736,16.642662027037506,0.6202070036184144
0.015498999999999999,0.00034658816788917744,0.00034606246846181573,4825.593178401002,47811.1195386597,47973.12107086288,18.740028187582475,-0.681981415193512
0.016499,0.00034658816788917744,0.0003460664685079795,5129.470650333598,48262.1404761203,47971.32107086288,17.79318089383046,-0.9514419112885072
0.017499,0.00034669313360213865,0.00034607046855414316,5431.063327318367,48080.88490976566,47969.52107086288,14.613931039283916,0.36579256270787747
0.018499,0.00034669313360213865,0.00034607446860030687,5731.58433497096,47930.86514708869,47967.721070862885,17.740218589322453,-0.27359652998713296
0.019499,0.00034669313360213865,0.0003460784686464706,6032.487365797552,47991.666023606194,47965.92107086288,18.658976066606954,-0.1606610471989559
0.020499,0.0003466654769241325,0.0003460824686926343,6333.990960038537,47893.35353665961,47964.12107086288,4.112651744612423,0.2028401821817686
0.021499,0.000346608957159151,0.000346086468738798,6636.182037789502,48059.61902387286,47962.32107086288,17.95946879236031,0.8647801993435136
0.022498999999999998,0.000346608957159151,0.0003460904687849617,6938.474764459179,48009.92043398529,47960.52107086318,18.21102123902427,-0.9965968381396771
0.023499,0.0003466768134501824,0.0003460944688311254,7240.758351475007,48026.038399540026,47958.721070862586,19.294632837945983,0.32460003996353365
0.024499,0.00034669387793117163,0.00034609846887728913,7540.805910522068,47843.975108236795,47956.92107086318,17.637494320416582,0.23904181521986537
0.025499,0.00034669387793117163,0.00034610246892345284,7844.492637868949,48231.78253243558,47955.12107086258,17.04254244540903,-0.9453913337271366
0.026499,0.00034669387793117163,0.00034610646896961655,8145.986946977045,48085.77088485038,47953.32107086318,14.917962300295098,-0.29911206423169523
0.027499,0.00034669387793117163,0.00034611046901545305,8446.567916476139,47940.408371355974,47951.4302054546,17.45829569007733,-0.9413434834783938
0.028499,0.0003467898222301075,0.00034611446905749127,8747.519791982932,47987.076714293085,47949.63020545446,18.22791738901335,0.2508644674335861
0.029499,0.00034693024056790757,0.00034611846909952937,9048.30898693803,47941.581384130615,47947.830205454746,18.45575616630462,0.5170464812846253
0.030499,0.0003470199658066315,0.0003461224691415676,9350.058413921339,48025.65820145371,47946.03020545474,18.008702912527628,0.999939293489883
0.031499,0.0003470199658066315,0.00034612646918360574,9650.06529579531,47849.0394880499,47944.23020545475,19.61348531930367,-0.024444775421911473
0.032499,0.0003470199658066315,0.00034613046922564396,9953.560466292178,48201.29531287292,47942.4302054549,17.518305376361194,-0.49682813766047484
0.033499,0.00034696845891731736,0.0003461344692676821,10255.161771014962,48087.64605660135,47940.6302054546,17.75129289156819,0.29057550546016986
0.034499,0.0003471699119536739,0.00034613846930972033,10555.593381024813,47907.144412172835,47938.830205454746,14.907995561578831,0.20957027732163297
0.035499,0.0003471699119536739,0.00034614246935175843,10856.399530332183,47976.24685092772,47937.03020545445,16.98947613261273,-0.6382427672417119
0.036499000000000004,0.0003471699119536739,0.00034614646939379665,11156.705292992678,47896.607842620324,47935.23020545475,18.17618860123378,-0.38227813929210064
0.037499,0.0003471344937289921,0.00034615046943583486,11459.096966518846,48090.66651332531,47933.4302054549,18.471197436036487,0.8581870279615206
0.038499,0.0003471344937289921,0.000346154469477873,11758.630703192064,47773.73609055001,47931.6302054549,17.14824206921319,-0.9778114333446472
0.039499,0.0003471344937289921,0.00034615846951991123,12062.265006450185,48223.43897957236,47929.8302054546,16.879370673536712,-0.3528773681817237
0.040499,0.00034694052198663903,0.0003461624695619494,12364.42239837903,48108.56857713784,47928.03020545474,14.946794266968578,0.9619224403358685
0.041499,0.00034706673914750935,0.00034616646960398755,12666.113341995067,47983.72485252951,47926.23020545519,16.884530913118315,0.8909722243097109
0.042499,0.0003469393077281231,0.0003461704696460257,12968.228172124203,48022.27626264533,47924.430205454744,16.26286595715238,0.6225872630623526
0.043498999999999996,0.0003469393077281231,0.0003461744696880639,13270.485231036226,48004.24373404552,47922.63020545475,17.241257318366607,-0.9996671231932843
0.044499,0.0003471251831469516,0.00034617846973010214,13572.362415582875,47979.48037846295,47920.830205454746,19.166561879362902,0.5634185164857163
0.045499,0.00034706314913263104,0.0003461824697721403,13872.976815145366,47891.79411010754,47919.03020545534,17.994068241521216,0.7631455942730725
0.046499,0.00034701986374070494,0.0003461864698141785,14175.840345526532,48122.04540512895,47917.230205455046,17.52900671353175,0.37591172617441393
0.047499,0.00034701986374070494,0.00034619046985621667,14474.996746854707,47713.68130518291,47915.43020545445,16.957130177091525,-0.15929344271125281
0.048499,0.00034701986374070494,0.00034619446989825483,14776.527408490574,47888.63401689689,47913.6302054549,15.25989792235623,-0.3943802969668339
0.049499,0.0003468260210022182,0.000346198469940293,15077.863254416763,47946.112031523895,47911.83020545519,17.4566051904007,0.9816518094709517
0.050499,0.000346889492776854,0.0003462024699823312,15378.434968533626,47899.013592757685,47910.030205454896,16.476706796026978,0.6139049055254185
0.051499,0.00034692037382631855,0.0003462064700243694,15680.763542483273,48075.67989295282,47908.2302054546,18.779011545269608,0.8184081538275572
0.052499000000000004,0.00034692037382631855,0.00034621047006640757,15980.259727237999,47767.759517099155,47906.43020545504,18.142162755348515,-0.9623736935540853
0.053499,0.00034692037382631855,0.0003462144701084458,16283.91113143885,48230.677841242294,47904.6302054549,16.3611893768492,0.1371443007098727
0.054499,0.0003469824946624759,0.0003462184701504839,16586.687300041318,48158.44972063095,47902.830205455044,14.804223178309687,0.904043959650439
0.055499,0.0003469824946624759,0.0003462224701855811,16888.785477357567,47978.95694271191,47900.7931203384,17.17390002634199,-0.785688638360178
0.056499,0.0003469824946624759,0.00034622647021709675,17191.31537143784,48052.63768557755,47898.9931203387,17.767665358347053,0.14378561995499586
0.057499,0.0003469824946624759,0.0003462304702486124,17491.01010526223,47799.359582983,47897.1931203384,17.656870783276577,-0.3429348319054929
0.058499,0.0003469824946624759,0.00034623447028012805,17794.624610885065,48220.28808805501,47895.393120338405,17.714918551530484,-0.5552322109073204
0.059498999999999996,0.00034706431730800226,0.0003462384703116437,18096.90067345656,48124.4348373134,47893.593120338555,17.06897556232907,0.9731655668786349
