frequency_hz,amplitude_median,attenuation_db_median,phase_rad_median,group_delay_ns_median,receiver_tau_rmse_ns,receiver_fd_rmse_hz,peak_to_second_db,post_corr_snr_median_db,carrier_lock_metric_median,loss_fraction
19000000000.0,0.8715066214703774,-1.1945861778718825,-53.3582576571016,0.48964083779621237,12998.230558482592,3620.1745957112053,0.18762251224052812,15.602767316296354,0.6500432044638225,0.1722658389629359
19500000000.0,0.8783985095803515,-1.1261683346903792,-54.900593691093135,0.4883483208457639,8738.228923267849,3646.4695390875536,0.04978596484827642,15.751459800190444,0.6547370698360976,0.1708051853204309
20000000000.0,0.8848822300886947,-1.0622907763892921,-56.43247339583891,0.48730458877296456,8192.819658833341,3836.5450040447154,0.04665326876345298,15.83282579096854,0.6548066792735268,0.16756436005112288
20500000000.0,0.8914072015014125,-0.998477235955429,-57.958231440766625,0.4861935523349049,8960.323889219144,3589.1872575031766,0.11913186526441988,15.929700212018737,0.6673119046240823,0.159165601606719
21000000000.0,0.8972035124002696,-0.9421815751895855,-59.481466587471786,0.4851211668788995,8058.998936258176,3220.4438915526384,0.012523359703018117,16.030802364027586,0.676379051847112,0.15647252145335036
21500000000.0,0.9024878239539377,-0.8911730282355046,-61.0055265891408,0.4841792299550395,8884.135651797666,3104.1147991369944,0.06981538503545265,16.09877178901914,0.6613208090336363,0.15373379587365346
22000000000.0,0.9072197786629328,-0.8457499153297998,-62.52375283565612,0.483276442146732,9123.684800004952,3137.7330587474426,0.14566097035330877,16.1894344597471,0.6689547870054868,0.14725214533503742
22500000000.0,0.9121091789842457,-0.7990636830409263,-64.03847006970109,0.48245462062534855,8823.188210125552,3201.179409720455,0.08193179370223572,16.2660137892666,0.6710811572569069,0.14574584626620413
23000000000.0,0.9161803503648456,-0.7603805496525338,-65.55094018855836,0.4816065475287553,8865.696114030117,3164.065632754643,0.0949001212809781,16.324714627332007,0.6826248616406907,0.14314405696549207
23500000000.0,0.9197428745955236,-0.7266713703035883,-67.0613228594741,0.48088753675282514,7021.983220904098,3039.159783560586,0.17330414480272285,16.357113158172133,0.6741291814690968,0.1468869819244112
24000000000.0,0.9231789333927081,-0.6942822905021588,-68.56976258199674,0.4802157243913821,7993.446685844105,3171.4419903359976,0.02667817973922946,16.45050424287392,0.6922163766929653,0.14264195727588094
24500000000.0,0.9264816717773945,-0.6632634014193758,-70.07639049091753,0.4796359314753151,8181.041868756914,3125.00851179537,0.022997948088423464,16.49522258335928,0.6907665359670491,0.142002921307285
25000000000.0,0.9294784481540237,-0.6352135214042248,-71.58132590228261,0.4790425897809119,561.6992977942815,79.92904177085678,0.04496896678936785,17.036936845635697,0.7669176638953469,0.011548292861055322
25500000000.0,0.9324174517834212,-0.6077921452138738,-73.08467764506008,0.4784615392548645,558.7652909396915,77.6731971876373,0.014568361170855509,17.087510452472124,0.76283562589023,0.007942304181121051
26000000000.0,0.9351206336318751,-0.5826472168882197,-74.58654521302302,0.4779557692161668,560.1091624809612,76.34539339924078,0.11017146545652493,17.12553446580599,0.7695681911358441,0.006801168522914004
26500000000.0,0.9375646768677108,-0.5599752783423556,-76.08701976507277,0.47751990178890713,558.8661737921332,76.36797086865722,0.08484899696865701,17.13997983211842,0.7701214305516151,0.0055230965857221105
27000000000.0,0.939872663001924,-0.5386196531688778,-77.58618499718926,0.4771120258701804,557.5912901769732,76.16932715836326,0.027105638314732047,17.176408037851466,0.7719243962368294,0.005477451159393828
27500000000.0,0.9420545526354769,-0.518478957105631,-79.08411790516072,0.4767199695485782,555.308023959179,75.48117366345126,0.1733405868505381,17.196554670524367,0.7757608576955184,0.004655833485484755
28000000000.0,0.944129072710693,-0.4993725837995537,-80.58088945399723,0.47633323735405786,555.8511793639387,75.8010169545319,0.13352282763102785,17.211169728250184,0.771646838495951,0.004701478911813036
28500000000.0,0.9461550420306596,-0.48075384494477036,-82.07656516729806,0.4759906375554994,553.5114847343702,75.86386086875672,0.028701657175951596,17.241651535656764,0.7707695641736172,0.005203578601424137
29000000000.0,0.948069951681904,-0.4631924017570065,-83.57120564769738,0.47565518056375217,554.6402014866902,75.06448697043454,0.03732719072893101,17.26789461212936,0.7752975295845466,0.003377761548292861
29500000000.0,0.949828048319272,-0.4471002422842409,-85.06486703775481,0.47533450200740174,553.3574232431766,75.3515140908982,0.012886631719990443,17.301886043065892,0.7750603621448788,0.004108088369545372
30000000000.0,0.951497131203517,-0.4318503782161231,-86.55760142920997,0.4750328122325864,553.7658138496638,75.5328412064349,0.03252913348921338,17.314431284733423,0.7751180202953294,0.0032408252693080153
30500000000.0,0.9530840560020217,-0.4173759533782737,-88.04945722732262,0.47475732818012556,553.93317044021,75.09431635053816,0.02460046849653442,17.338807660810417,0.7762891388640523,0.0032864706956362974
31000000000.0,0.9545941456492872,-0.4036247070084267,-89.54047947602507,0.4744984031629851,555.0323795468132,75.56578453005491,0.06722645453977155,17.353638501634414,0.7732739126314762,0.004427606353843345
