frequency_hz,ekf_pr_doppler_mean_position_error_3d_m_delta_issue01_vs_legacy,ekf_pr_doppler_mean_position_error_3d_m_delta_issue03_vs_issue01,ekf_pr_doppler_mean_position_error_3d_m_delta_issue03_vs_legacy,ekf_pr_doppler_mean_position_error_3d_m_issue01,ekf_pr_doppler_mean_position_error_3d_m_issue03,ekf_pr_doppler_mean_position_error_3d_m_legacy,ekf_pr_doppler_mean_velocity_error_3d_mps_delta_issue01_vs_legacy,ekf_pr_doppler_mean_velocity_error_3d_mps_delta_issue03_vs_issue01,ekf_pr_doppler_mean_velocity_error_3d_mps_delta_issue03_vs_legacy,ekf_pr_doppler_mean_velocity_error_3d_mps_issue01,ekf_pr_doppler_mean_velocity_error_3d_mps_issue03,ekf_pr_doppler_mean_velocity_error_3d_mps_legacy,single_fd_rmse_hz_delta_issue01_vs_legacy,single_fd_rmse_hz_delta_issue03_vs_issue01,single_fd_rmse_hz_delta_issue03_vs_legacy,single_fd_rmse_hz_issue01,single_fd_rmse_hz_issue03,single_fd_rmse_hz_legacy,single_tau_rmse_ns_delta_issue01_vs_legacy,single_tau_rmse_ns_delta_issue03_vs_issue01,single_tau_rmse_ns_delta_issue03_vs_legacy,single_tau_rmse_ns_issue01,single_tau_rmse_ns_issue03,single_tau_rmse_ns_legacy,wls_case_b_wls_position_error_3d_m_delta_issue01_vs_legacy,wls_case_b_wls_position_error_3d_m_delta_issue03_vs_issue01,wls_case_b_wls_position_error_3d_m_delta_issue03_vs_legacy,wls_case_b_wls_position_error_3d_m_issue01,wls_case_b_wls_position_error_3d_m_issue03,wls_case_b_wls_position_error_3d_m_legacy
19000000000.0,11789.98007099973,14319.162945512244,26109.143016511975,11896.840540890653,26216.003486402897,106.86046989092185,1902.0977119445743,40.88100335267541,1942.9787152972497,1902.2522910881391,1943.1332944408146,0.15457914356483865,3508.2272040608323,-0.5953185626835875,3507.6318854981487,3620.1745957112053,3619.5792771485217,111.94739165037308,11856.815955029637,-4011.766294391329,7845.049660638308,12998.230558482592,8986.464264091263,1141.4146034529545,3998.9825806529116,-1063.6737930745426,2935.3087875783685,4426.806274496877,3363.132481422335,427.8236938439661
19500000000.0,321556.6210320831,-262676.1400215921,58880.48101049105,321813.5032043355,59137.36318274344,256.88217225238714,32288.626472827742,-26629.883735530773,5658.742737296969,32289.112771753946,5659.229036223173,0.48629892620466897,3534.1417814785086,16.253959336855132,3550.3957408153638,3646.4695390875536,3662.7234984244087,112.32775760904502,8101.790400678099,740.1314797580035,8841.921880436103,8738.228923267849,9478.360403025852,636.4385225897491,3127.8709448522627,398.99723943931076,3526.8681842915735,3300.960520390469,3699.9577598297797,173.08957553820636
20000000000.0,65054.31627240546,-40506.550466992274,24547.765805413186,65193.81931593641,24687.268848944135,139.5030435309494,5864.798716292486,-3137.9095972152154,2726.8891190772697,5864.988234972479,2727.078637757264,0.1895186799941522,3723.902182860309,-226.63629493604412,3497.265887924265,3836.5450040447154,3609.9087091086712,112.64282118440643,7295.352470546064,1677.497916511571,8972.850387057635,8192.819658833341,9870.317575344912,897.4671882872775,3234.1828463594657,507.8282432644987,3742.011089623964,3336.4396903381507,3844.2679336026495,102.25684397868531
20500000000.0,15619.438657176512,254068.61042660743,269688.04908378393,15749.867968307735,269818.4783949152,130.42931113122398,2904.302339506972,23615.483652729534,26519.785992236506,2904.5720330471368,26520.05568577667,0.2696935401645826,3478.5545105607034,-132.47027450127598,3346.0842360594274,3589.1872575031766,3456.7169830019006,110.63274694247315,8260.064791366894,925.5504300042048,9185.6152213711,8960.323889219144,9885.874319223349,700.2590978522486,3490.9750898627485,72.23995918123455,3563.215049043983,3626.7752474885388,3699.0152066697733,135.80015762579004
21000000000.0,112338.94063966915,-95359.44514674143,16979.495492927712,112395.59786872467,17036.15272198324,56.6572290555253,12469.084934224105,-9538.964374597155,2930.1205596269506,12469.172557848808,2930.208183251653,0.08762362470239621,3113.457367951678,394.1125276330313,3507.5698955847092,3220.4438915526384,3614.5564191856697,106.98652360096044,7438.028681916697,585.3948661079721,8023.423548024669,8058.998936258176,8644.393802366149,620.9702543414796,2921.713994949398,322.0371563000499,3243.751151249448,2982.707508407282,3304.744664707332,60.99351345788392
21500000000.0,205368.14459341543,-110350.317007415,95017.82758600042,205438.58241974367,95088.26541232868,70.43782632825214,22765.150228629944,-12516.870953173757,10248.279275456185,22765.2733725822,10248.402419408443,0.1231439522575538,2995.9672749561482,149.41630339288258,3145.383578349031,3104.1147991369944,3253.531102529877,108.14752418084602,8278.493862914469,-387.61545520481377,7890.878407709655,8884.135651797666,8496.520196592852,605.6417888831962,3380.7313627088406,-327.74426110624063,3052.9871016026,3548.4121936762594,3220.667932570019,167.68083096741864
22000000000.0,54827.308090778184,-9081.554788535213,45745.75330224297,54952.9646045092,45871.40981597399,125.65651373102021,6547.619796334968,-1842.2177010178075,4705.40209531716,6547.8021724039145,4705.584471386107,0.18237606894654804,3025.3717252657325,63.13925660696805,3088.5109818727005,3137.7330587474426,3200.8723153544106,112.36133348171006,8374.65169878007,-725.9574983609218,7648.694200419148,9123.684800004952,8397.72730164403,749.0331012248824,3396.685480537378,-294.1268975567764,3102.558582980602,3448.0271368719496,3153.900239315173,51.34165633457115
22500000000.0,43562.15259327055,27595.510266607933,71157.66285987847,43577.24347329981,71172.75373990774,15.090880029261898,5017.70795571856,2370.8123352560806,7388.52029097464,5017.750900069832,7388.5632353259125,0.04294435127175012,3094.7037653707594,7.9616823775027115,3102.665447748262,3201.179409720455,3209.141092097958,106.47564434969598,8197.124047973639,-10.320139702727829,8186.80390827091,8823.188210125552,8812.868070422825,626.0641621519142,3177.241741947024,172.20759084265455,3349.4493327896785,3278.5119841831074,3450.719575025762,101.27024223608365
23000000000.0,16300.054178178967,-12748.918640159834,3551.1355380191326,16334.845984553525,3585.927344393691,34.79180637455815,2207.5138131909766,-1534.4965319373541,673.0172812536224,2207.581663548299,673.0851316109446,0.06785035732217719,3053.8951854673114,-83.66196930835304,2970.2332161589584,3164.065632754643,3080.40366344629,110.17044728733158,8291.533502342834,-201.38579894206305,8090.147703400771,8865.696114030117,8664.310315088054,574.1626116872833,2601.9181342250986,668.7340159925052,3270.652150217604,2707.525806620659,3376.259822613164,105.60767239556036
23500000000.0,18151.689272405212,140966.06243110262,159117.75170350782,18170.677687191877,159136.7401182945,18.988414786665228,2298.035580368703,11763.32985978239,14061.365440151094,2298.0752547111806,14061.405114493571,0.039674342477741445,2932.625953353019,17866.28034109987,20798.906294452892,3039.159783560586,20905.440124660458,106.5338302075669,6431.394627034886,25081.445276928735,31512.83990396362,7021.983220904098,32103.428497832832,590.5885938692118,3008.3030079050104,4760.538579077836,7768.841586982847,3066.5480283554716,7827.086607433308,58.245020450461325
