case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.153486,0.800000,173.927549,20381135.467719,966.264159,0.153486,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,40.179084,57.330731
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.163572,-0.600000,-150.198350,20615476.015917,1001.322334,0.163572,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-198.054291,-193.679767
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.179513,1.100000,232.066985,20939227.958610,1054.849930,0.179513,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,251.385780,241.282390
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.203847,-0.900000,-203.882404,21352219.288713,1132.680021,0.203847,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-179.731918,-196.697547
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.230360,0.400000,291.109493,21724592.512970,1212.956219,0.230360,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,231.981892,225.625439
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.275608,-0.700000,-214.575870,22228038.516969,1341.099188,0.275608,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-305.660096,-300.654045
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.334828,1.600000,299.107620,22718816.438292,1495.538101,0.334828,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,278.701335,286.532644
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.392024,-1.300000,-228.707453,23067929.931762,1633.624664,0.392024,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-118.801786,-122.926090
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.213584,1.040000,141.239377,20357905.600592,1176.994810,0.213584,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2329.526308,148.496654
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.244814,-0.780000,-254.093612,20853367.811295,1270.468058,0.244814,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-807.148655,-346.024727
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.308732,1.430000,506.348321,21601703.474942,1446.709488,0.308732,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1520.301687,587.965196
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.468759,-1.170000,-1096.727940,22696127.541367,1827.879901,0.468759,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-2716.228414,-1193.780317
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.831662,0.520000,2393.919022,23781043.216989,2519.914760,0.831662,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2830.134891,1291.206769
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.320198,-0.910000,4202.173007,24391301.384560,3654.063484,1.320198,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,4282.298364,1881.791901
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.078900,2.080000,-8606.225156,24809375.333767,5378.890722,2.078900,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-11796.650948,-11937.595796
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.840411,-1.690000,14459.898149,25052589.924802,6572.680977,2.840411,2088.682861,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,7398.370142,10881.399006
