Time_s,AOA_deg
401.217410,-0.977018
401.221952,-0.904956
401.226495,-0.825720
401.231038,-0.739738
401.235580,-0.647435
401.240123,-0.549236
401.244665,-0.445569
401.249208,-0.336859
401.253750,-0.223532
401.258293,-0.106015
401.262836,0.015266
401.267378,0.139886
401.271921,0.267418
401.276463,0.397436
401.281006,0.529514
401.285548,0.663225
401.290091,0.798145
401.294634,0.933846
401.299176,1.069902
401.303719,1.205888
401.308261,1.341378
401.312804,1.475944
401.317346,1.609161
401.321889,1.740604
401.326432,1.869845
401.330974,1.996459
401.335517,2.120020
401.340059,2.240101
401.344602,2.356276
401.349144,2.468120
401.353687,2.575206
401.358230,2.677108
401.362772,2.773400
401.367315,2.863656
401.371857,2.947449
401.376400,3.024354
401.380943,3.093945
401.385485,3.155795
401.390028,3.209478
401.394570,3.254569
401.399113,3.290640
401.403655,3.317267
401.408198,3.334022
401.412741,3.340480
401.417283,3.336096
401.421826,3.320791
401.426368,3.295023
401.430911,3.259251
401.435453,3.213935
401.439996,3.159536
401.444539,3.096514
401.449081,3.025328
401.453624,2.946438
401.458166,2.860305
401.462709,2.767389
401.467251,2.668149
401.471794,2.563046
401.476337,2.452540
401.480879,2.337090
401.485422,2.217156
401.489964,2.093200
401.494507,1.965679
401.499049,1.835056
401.503592,1.701789
401.508135,1.566340
401.512677,1.429166
401.517220,1.290730
401.521762,1.151490
401.526305,1.011907
401.530847,0.872441
401.535390,0.733552
401.539933,0.595699
401.544475,0.459343
401.549018,0.324944
401.553560,0.192962
401.558103,0.063857
401.562645,-0.061911
401.567188,-0.183882
401.571731,-0.301597
401.576273,-0.414594
401.580816,-0.522415
401.585358,-0.624598
401.589901,-0.720685
401.594443,-0.810214
401.598986,-0.892727
401.603529,-0.967763
401.608071,-1.034861
401.612614,-1.093563
401.617156,-1.143407
401.621699,-1.183934
401.626242,-1.214684
401.630784,-1.235197
401.635327,-1.245013
401.639869,-1.243230
401.644412,-1.228158
401.648954,-1.200254
401.653497,-1.160174
401.658040,-1.108572
401.662582,-1.046106
401.667125,-0.973429
401.671667,-0.891197
401.676210,-0.800066
401.680752,-0.700691
401.685295,-0.593728
401.689838,-0.479831
401.694380,-0.359657
401.698923,-0.233861
401.703465,-0.103097
401.708008,0.031978
401.712550,0.170708
401.717093,0.312440
401.721636,0.456516
401.726178,0.602283
401.730721,0.749084
401.735263,0.896264
401.739806,1.043167
401.744348,1.189139
401.748891,1.333523
401.753434,1.475665
401.757976,1.614908
401.762519,1.750598
401.767061,1.882079
401.771604,2.008696
401.776146,2.129793
401.780689,2.244716
401.785232,2.352807
401.789774,2.453413
401.794317,2.545877
401.798859,2.629544
401.803402,2.703759
401.807944,2.767867
401.812487,2.821212
401.817030,2.863138
401.821572,2.892990
401.826115,2.910114
401.830657,2.913994
401.835200,2.907938
401.839742,2.893794
401.844285,2.871862
401.848828,2.842441
401.853370,2.805830
401.857913,2.762328
401.862455,2.712234
401.866998,2.655849
401.871541,2.593469
401.876083,2.525396
401.880626,2.451928
401.885168,2.373364
401.889711,2.290004
401.894253,2.202146
401.898796,2.110090
401.903339,2.014135
401.907881,1.914580
401.912424,1.811725
401.916966,1.705868
401.921509,1.597309
401.926051,1.486347
401.930594,1.373281
401.935137,1.258410
401.939679,1.142034
401.944222,1.024451
401.948764,0.905961
401.953307,0.786863
401.957849,0.667456
401.962392,0.548039
401.966935,0.428912
401.971477,0.310373
401.976020,0.192723
401.980562,0.076259
401.985105,-0.038718
401.989647,-0.151910
401.994190,-0.263017
401.998733,-0.371741
402.003275,-0.477782
402.007818,-0.580840
402.012360,-0.680618
402.016903,-0.776814
402.021445,-0.869132
402.025988,-0.957270
402.030531,-1.040930
402.035073,-1.119814
402.039616,-1.193620
402.044158,-1.262052
402.048701,-1.324808
402.053243,-1.381591
402.057786,-1.432101
402.062329,-1.476038
402.066871,-1.513104
402.071414,-1.542999
402.075956,-1.565425
402.080499,-1.580081
402.085041,-1.586670
402.089584,-1.584727
402.094127,-1.573792
402.098669,-1.554145
402.103212,-1.526103
402.107754,-1.489983
402.112297,-1.446102
402.116840,-1.394776
402.121382,-1.336324
402.125925,-1.271061
402.130467,-1.199305
402.135010,-1.121372
402.139552,-1.037580
402.144095,-0.948246
402.148638,-0.853686
402.153180,-0.754217
402.157723,-0.650157
402.162265,-0.541823
402.166808,-0.429530
402.171350,-0.313597
402.175893,-0.194340
402.180436,-0.072077
402.184978,0.052877
402.189521,0.180203
402.194063,0.309586
402.198606,0.440707
402.203148,0.573251
402.207691,0.706900
402.212234,0.841337
402.216776,0.976245
402.221319,1.111307
402.225861,1.246207
402.230404,1.380627
402.234946,1.514250
402.239489,1.646760
402.244032,1.777839
402.248574,1.907171
402.253117,2.034438
402.257659,2.159325
402.262202,2.281512
402.266744,2.400685
402.271287,2.516525
402.275830,2.628716
402.280372,2.736941
402.284915,2.840883
402.289457,2.940225
402.294000,3.034650
402.298542,3.123841
402.303085,3.207481
402.307628,3.285253
402.312170,3.356840
402.316713,3.421926
402.321255,3.480193
402.325798,3.531324
402.330340,3.575003
402.334883,3.610912
402.339426,3.638735
402.343968,3.658154
402.348511,3.668853
402.353053,3.670317
402.357596,3.659688
402.362139,3.636533
402.366681,3.601391
402.371224,3.554799
402.375766,3.497294
402.380309,3.429415
402.384851,3.351698
402.389394,3.264682
402.393937,3.168903
402.398479,3.064900
402.403022,2.953210
402.407564,2.834370
402.412107,2.708919
402.416649,2.577393
402.421192,2.440331
402.425735,2.298269
402.430277,2.151747
402.434820,2.001300
402.439362,1.847467
402.443905,1.690785
402.448447,1.531792
402.452990,1.371026
402.457533,1.209024
402.462075,1.046323
402.466618,0.883461
402.471160,0.720976
402.475703,0.559406
402.480245,0.399287
402.484788,0.241158
402.489331,0.085556
402.493873,-0.066981
402.498416,-0.215916
402.502958,-0.360711
402.507501,-0.500828
402.512043,-0.635731
402.516586,-0.764881
402.521129,-0.887740
402.525671,-1.003772
402.530214,-1.112439
402.534756,-1.213203
402.539299,-1.305526
402.543841,-1.388871
402.548384,-1.462700
402.552927,-1.526476
402.557469,-1.579661
402.562012,-1.621718
402.566554,-1.652109
402.571097,-1.670296
402.575639,-1.675723
402.580182,-1.665096
402.584725,-1.636891
402.589267,-1.591999
402.593810,-1.531314
402.598352,-1.455725
402.602895,-1.366125
402.607438,-1.263406
402.611980,-1.148459
402.616523,-1.022175
402.621065,-0.885448
402.625608,-0.739167
402.630150,-0.584226
402.634693,-0.421515
402.639236,-0.251926
402.643778,-0.076351
402.648321,0.104319
402.652863,0.289191
402.657406,0.477374
402.661948,0.667976
402.666491,0.860107
402.671034,1.052873
402.675576,1.245384
402.680119,1.436747
402.684661,1.626072
402.689204,1.812465
402.693746,1.995037
402.698289,2.172894
402.702832,2.345146
402.707374,2.510901
402.711917,2.669266
402.716459,2.819351
402.721002,2.960264
402.725544,3.091112
402.730087,3.211005
402.734630,3.319050
402.739172,3.414356
402.743715,3.496032
402.748257,3.563185
402.752800,3.614924
402.757342,3.650358
402.761885,3.668594
402.766428,3.669956
402.770970,3.661568
402.775513,3.644959
402.780055,3.620393
402.784598,3.588133
402.789140,3.548445
402.793683,3.501590
402.798226,3.447834
402.802768,3.387439
402.807311,3.320669
402.811853,3.247789
402.816396,3.169062
402.820938,3.084752
402.825481,2.995123
402.830024,2.900437
402.834566,2.800960
402.839109,2.696955
402.843651,2.588685
402.848194,2.476415
402.852737,2.360407
402.857279,2.240927
402.861822,2.118237
402.866364,1.992602
402.870907,1.864285
402.875449,1.733550
402.879992,1.600661
402.884535,1.465881
402.889077,1.329474
402.893620,1.191704
402.898162,1.052835
402.902705,0.913131
402.907247,0.772855
402.911790,0.632271
402.916333,0.491642
402.920875,0.351234
402.925418,0.211308
402.929960,0.072130
402.934503,-0.066037
402.939045,-0.202930
402.943588,-0.338285
402.948131,-0.471837
402.952673,-0.603323
402.957216,-0.732480
402.961758,-0.859043
402.966301,-0.982749
402.970843,-1.103334
402.975386,-1.220535
402.979929,-1.334087
402.984471,-1.443726
402.989014,-1.549190
402.993556,-1.650214
402.998099,-1.746534
403.002641,-1.837887
403.007184,-1.924010
403.011727,-2.004637
403.016269,-2.079505
403.020812,-2.148352
403.025354,-2.210912
403.029897,-2.266922
403.034439,-2.316119
403.038982,-2.358238
403.043525,-2.393017
403.048067,-2.420190
403.052610,-2.439494
403.057152,-2.450667
403.061695,-2.453346
403.066237,-2.443394
403.070780,-2.419164
403.075323,-2.381263
403.079865,-2.330294
403.084408,-2.266865
403.088950,-2.191579
403.093493,-2.105043
403.098036,-2.007863
403.102578,-1.900642
403.107121,-1.783988
403.111663,-1.658505
403.116206,-1.524799
403.120748,-1.383475
403.125291,-1.235139
403.129834,-1.080396
403.134376,-0.919852
403.138919,-0.754112
403.143461,-0.583781
403.148004,-0.409465
403.152546,-0.231770
403.157089,-0.051300
403.161632,0.131338
403.166174,0.315540
403.170717,0.500699
403.175259,0.686211
403.179802,0.871470
403.184344,1.055870
403.188887,1.238807
403.193430,1.419674
403.197972,1.597866
403.202515,1.772778
403.207057,1.943805
403.211600,2.110340
403.216142,2.271779
403.220685,2.427516
