case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.150884,0.800000,0.674438,20380962.212006,3.746875,0.150884,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.155803,0.222311
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.160799,-0.600000,-0.582423,20615625.629071,3.882820,0.160799,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.767993,-0.751030
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.176469,1.100000,0.899884,20938996.788466,4.090384,0.176469,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.974796,0.935619
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.200391,-0.900000,-0.790593,21352422.377068,4.392185,0.200391,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.696946,-0.762733
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.226454,0.400000,1.128833,21724302.528405,4.703471,0.226454,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.899555,0.874906
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.270936,-0.700000,-0.832059,22228252.256107,5.200370,0.270936,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1.185255,-1.165843
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.329151,1.600000,1.159847,22718518.484842,5.799237,0.329151,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,1.080719,1.111086
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.385378,-1.300000,-0.886857,23068157.745711,6.334694,0.385378,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.460679,-0.476671
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.209963,1.040000,0.547683,20357764.905277,4.564024,0.209963,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,9.035124,0.575884
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.240663,-0.780000,-0.985297,20853620.915459,4.926484,0.240663,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-3.128998,-1.341759
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.303498,1.430000,1.963463,21601199.084850,5.609894,0.303498,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-5.896193,2.279824
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.460812,-1.170000,-4.252774,22697220.008586,7.087956,0.460812,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-10.533652,-4.629216
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.817562,0.520000,9.282882,23778658.566749,9.771454,0.817562,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,10.975786,5.007051
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.297815,-0.910000,16.294735,24387115.483905,14.169334,1.297815,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,16.607932,7.297210
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.043654,2.080000,-33.372294,24817948.151381,20.857684,2.043654,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-45.743332,-46.290318
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.792253,-1.690000,56.071038,25038186.049533,25.486836,2.792253,8.099270,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,28.683334,42.194587
