t_s,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,ins_pos_ecef_x_m,ins_pos_ecef_y_m,ins_pos_ecef_z_m,ins_vel_ecef_x_mps,ins_vel_ecef_y_mps,ins_vel_ecef_z_mps,ins_quat_w,ins_quat_x,ins_quat_y,ins_quat_z
0.0,3.1243237328031414e-06,0.0005764262417120899,-0.007470729043741357,-48.92699819858172,55.54157514701634,5.139447728595985,-1653639.850072476,5089380.142985015,3585590.067023642,-258.4057955714953,-5260.056020287632,7298.290012616031,0.9945218953682734,0.0,0.0,0.10452846326765353
0.005,-8.140278761278307e-06,0.0005690396589012851,-0.007490528523489196,-48.92957816773409,55.55332124040441,5.141057950233044,-1653641.141316311,5089353.842691498,3585626.55896721,-258.0917383376997,-5260.0613867730635,7298.4874146065795,0.9945238474533502,-1.4286435217282872e-07,1.4339877479313465e-06,0.10450988874029415
0.01,3.712726996624831e-06,0.0005690287111347509,-0.007450584044032974,-48.941242113245494,55.536480950451555,5.144774497669278,-1653642.4309897975,5089327.54237109,3585663.051897937,-257.77765626571056,-5260.066776284561,7298.684876109547,0.9945258043616798,-3.118061374382522e-07,2.846667000512559e-06,0.10449126494857433
0.015,1.0482587168403279e-05,0.0005563056814177228,-0.007459474178971519,-48.95634262095557,55.53979395080186,5.140762284480462,-1653643.7190928478,5089301.242023908,3585699.5458158255,-257.46356385555737,-5260.072096638221,7298.882279292742,0.9945277504864821,-4.5127447824355546e-07,4.262415402555206e-06,0.10447274043464991
0.02,-4.686433850618169e-06,0.0005685484377879632,-0.007453059492589345,-48.94359222448406,55.52915141240888,5.142385925757422,-1653645.0056252545,5089274.941650123,3585736.040720727,-257.1493988583675,-5260.077417099993,7299.079681263407,0.9945296985859428,-5.705878546546794e-07,5.648298442382168e-06,0.10445419378045663
0.025,-7.056353676319177e-06,0.0005555423533053793,-0.0074669956316762934,-48.95996931190613,55.538213355489056,5.140007033138719,-1653646.2905870483,5089248.641249727,3585772.5366125926,-256.835318628741,-5260.082741129672,7299.2770651895535,0.9945316446625659,-7.308132631520149e-07,7.060659781738994e-06,0.10443566303894862
0.03,7.653445533096204e-07,0.0005740267162349756,-0.007479850508027409,-48.9539156194256,55.53388879505094,5.140777279981637,-1653647.5739782238,5089222.340822701,3585809.0334914424,-256.5211516547139,-5260.088069317512,7299.474474682983,0.9945335940301018,-8.935355704048528e-07,8.440064926317099e-06,0.10441709761114626
0.035,-7.174980248251089e-06,0.0005904611380097788,-0.007476643219395439,-48.96299296052723,55.52391386959233,5.135764291529535,-1653648.85579867,5089196.040369015,3585845.531357338,-256.20702682408796,-5260.093405049825,7299.671883591091,0.9945355464037865,-1.0416360032752187e-06,9.867470136526512e-06,0.10439850018496391
0.04,-1.121303524348812e-05,0.0005840023053365188,-0.007483751669286374,-48.96589748361009,55.52367086176906,5.1459315076557965,-1653650.1360484357,5089169.739888686,3585882.0302101467,-255.89287943571094,-5260.098727002784,7299.869239840905,0.9945374975902309,-1.2137680172846626e-06,1.133366449821419e-05,0.10437991069662979
0.045,2.7419041873366844e-05,0.0005671891001410262,-0.00747200852128978,-48.97611155644454,55.51577886015305,5.140663503717799,-1653651.414727481,5089143.4393818425,3585918.5300498228,-255.57873870607546,-5260.104010253051,7300.066630653979,0.994539450281852,-1.3942547941110833e-06,1.2782746226584627e-05,0.10436130349765213
0.05,2.790432900766158e-06,0.0005785157722729909,-0.007488503920331782,-48.979735159729245,55.516482494260494,5.139256212217393,-1653652.6918357434,5089117.138848609,3585955.0308763385,-255.2645661880156,-5260.109283142633,7300.263975570822,0.9945413995606734,-1.474301763304962e-06,1.4200103736575907e-05,0.1043427254583686
0.055,1.4395252576439388e-06,0.0005515773010627697,-0.007492893507212031,-48.978406014669424,55.50726790534692,5.1371221321643725,-1653653.9673731101,5089090.838288992,3585991.5326895923,-254.95038054950305,-5260.114563611148,7300.461325912059,0.9945433527920914,-1.618539385259506e-06,1.563919875119778e-05,0.10432410636982009
0.06,5.794007734387312e-06,0.0005621567130432197,-0.007495389656502555,-48.9943542540751,55.502449272906595,5.135767448193223,-1653655.2413396146,5089064.537702978,3586028.0354895163,-254.63622118834925,-5260.119842160778,7300.658643700054,0.9945453068186432,-1.7591101889695579e-06,1.7010962718272985e-05,0.10430547633055341
0.065,-1.0587752463416295e-06,0.0005628163678350912,-0.007484118264297357,-48.99441498035198,55.502658237292835,5.131663805929104,-1653656.513735177,5089038.237090647,3586064.5392759605,-254.32200376612718,-5260.125090125887,7300.855934066564,0.9945472611446426,-1.8916129994540167e-06,1.8410166420622212e-05,0.1042868400479063
0.07,-1.0653883559119167e-05,0.0005818892194024597,-0.0074694487520199975,-48.99620413284998,55.497825741775046,5.138644956284553,-1653657.784559653,5089011.936452015,3586101.044048854,-254.00778661556225,-5260.1303625795235,7301.053223389959,0.9945492121812769,-2.0413258151449125e-06,1.980922367674341e-05,0.1042682317536326
