case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.149716,0.800000,0.353883,20380961.890283,1.966016,0.149716,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.081751,0.116648
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.159554,-0.600000,-0.305602,20615625.904647,2.037348,0.159554,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.402972,-0.394072
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.175103,1.100000,0.472177,20938996.359392,2.146258,0.175103,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.511484,0.490927
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.198839,-0.900000,-0.414831,21352422.751279,2.304616,0.198839,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.365693,-0.400212
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.224701,0.400000,0.592308,21724301.990127,2.467950,0.224701,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.472004,0.459070
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.268838,-0.700000,-0.436588,22228252.649481,2.728677,0.268838,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.621913,-0.611728
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.326604,1.600000,0.608581,22718517.931029,3.042907,0.326604,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.567062,0.582996
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.382394,-1.300000,-0.465341,23068158.164244,3.323866,0.382394,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.241722,-0.250113
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.208338,1.040000,0.287374,20357764.643342,2.394781,0.208338,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,4.740806,0.302171
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.238800,-0.780000,-0.516993,20853621.381899,2.584967,0.238800,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1.641810,-0.704032
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.301148,1.430000,1.030245,21601198.149283,2.943558,0.301148,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-3.093782,1.196243
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.457245,-1.170000,-2.231465,22697222.026328,3.719109,0.457245,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-5.527095,-2.428988
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.811233,0.520000,4.870805,23778654.148343,5.127163,0.811233,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,5.759087,2.627241
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.287769,-0.910000,8.549981,24387107.729106,7.434767,1.287769,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,8.714321,3.828906
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.027835,2.080000,-17.510718,24817963.997139,10.944199,2.027835,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-24.001903,-24.288911
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.770639,-1.690000,29.420936,25038159.377817,13.373153,2.770639,4.249754,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,15.050376,22.139847
