t_s,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,ins_pos_ecef_x_m,ins_pos_ecef_y_m,ins_pos_ecef_z_m,ins_vel_ecef_x_mps,ins_vel_ecef_y_mps,ins_vel_ecef_z_mps,ins_quat_w,ins_quat_x,ins_quat_y,ins_quat_z
0.0,8.139407860459039e-06,0.0005621880169499869,-0.007483966200861425,-48.932628185016426,55.54592973999188,5.140888579146812,-1658763.5840503734,5105149.374697655,3596773.925093057,-258.4057955714953,-5260.056020287632,7298.290012616031,0.9945218953682734,0.0,0.0,0.10452846326765353
0.005,-2.145400764477495e-05,0.000574444518613505,-0.0074618344752543225,-48.9254612898534,55.546429440160885,5.142405968349313,-1658764.8752941298,5105123.074404156,3596810.4170366675,-258.09170702209275,-5260.061379398937,7298.487431439195,0.9945238509119344,-1.2667457535794194e-07,1.3998977298329756e-06,0.10450985582862828
0.01,-3.809830951001403e-06,0.0005578637977726353,-0.007455557225425175,-48.95495171749468,55.53740376273437,5.142457333093024,-1658766.1649675418,5105096.774083816,3596846.9099674267,-257.77765773013437,-5260.066756403731,7298.684872324443,0.9945258003239592,-3.301297801416215e-07,2.8225369152953988e-06,0.10449130337933725
0.015,-1.30153079341495e-05,0.0005739973099122052,-0.0074730337479921765,-48.94346722858795,55.55184122596008,5.143353537561861,-1658767.4530704345,5105070.473736776,3596883.4038852598,-257.46349933299757,-5260.072059699316,7298.882260928748,0.9945277477485288,-4.853846153191033e-07,4.208560375842895e-06,0.10447276650061142
0.02,5.980951006820226e-06,0.0005724858976173428,-0.007484916159639792,-48.94401888219896,55.5383314603172,5.146255247576247,-1658768.7396026156,5105044.173363067,3596919.898790237,-257.1493731234382,-5260.07742401237,7299.0797300452,0.9945296993891591,-6.677411715430367e-07,5.632292573317235e-06,0.10445418613315714
0.025,-2.705855526547165e-06,0.0005806039922862594,-0.007477282096350176,-48.95590753324659,55.53772730822578,5.134426073181207,-1658770.0245642462,5105017.872962625,3596956.3946824665,-256.83527909972304,-5260.082752889675,7299.277161620824,0.9945316537830364,-8.02472352267293e-07,7.057227484853993e-06,0.10443557618517854
0.03,-1.5217701097942046e-05,0.0005664077119879118,-0.007467173472755632,-48.96241404543433,55.52516532406126,5.138779591081933,-1658771.307955254,5104991.572535466,3596992.891561763,-256.52112404877874,-5260.088110424778,7299.474557061464,0.9945336058336371,-9.609212029229578e-07,8.500078635399766e-06,0.10441698518138308
0.035,1.5711314833279756e-05,0.0005730254993680913,-0.007465571718973002,-48.97197549579642,55.52495310336611,5.1395506734580545,-1658772.5897755008,5104965.272081649,3597029.38942795,-256.20697467896167,-5260.093416657267,7299.671917754278,0.9945355548966276,-1.1467726336841272e-06,9.904366989678103e-06,0.10439841927464977
0.04,-1.1247250097404394e-05,0.0005676232984331454,-0.007457981918756968,-48.9731258136351,55.52267325933941,5.141036545720273,-1658773.8700249128,5104938.971601338,3597065.888280947,-255.89279008267334,-5260.098707581992,7299.869281099725,0.9945375031929593,-1.2574512256882213e-06,1.1333181758119277e-05,0.10437985731304825
0.045,3.1827002161676934e-06,0.0005759545428618391,-0.007479421392620693,-48.97619795586019,55.51784828492712,5.144508194649678,-1658775.1487034194,5104912.671094587,3597102.38812077,-255.5786125942988,-5260.10399298109,7300.066647976936,0.9945394491606933,-1.4337481594397565e-06,1.2741529989978315e-05,0.10436131418654462
