receive_time_s,transmit_time_est_s,pseudorange_m,pseudorange_true_m,carrier_phase_cycles,range_rate_mps,range_rate_true_mps,doppler_hz_compat
0.000499,0.00015266679074531545,103828.08408949022,103728.92963089622,47.85917931238054,-463.53804343041145,-464.1933334727546,47932.09089450394
0.0014990000000000001,0.0011526667907453157,103828.08408949019,103730.12880813604,95.73825736246994,-464.00657486452513,-464.1759261687445,47980.53932631046
0.002499,0.0021526667907453153,103828.08408949025,103731.32798537589,143.58223648345754,-463.6349131660509,-464.1585188647316,47942.10769687734
0.003499,0.0031525744170317347,103855.77703213919,103732.5271626157,191.68959643411188,-464.9380351998949,-464.14111156071596,48076.85686074445
0.0044989999999999995,0.004152574417031734,103855.77703213932,103733.72633985554,239.41406975101307,-462.5114350909469,-464.12370425670014,47825.93459312226
0.005499,0.005152574417031735,103855.77703213932,103734.92551709535,287.73755053100916,-466.34186312131106,-464.1062969526872,48222.01950377498
0.006499,0.006152574417031734,103855.77703213932,103736.12469433519,335.72407145647196,-465.0456253065505,-464.08888964867435,48087.98220168389
0.0074990000000000005,0.007152574417031735,103855.77703213932,103737.32387157502,383.5417354614235,-463.41265655653837,-464.0714823446643,47919.125281172644
0.008499,0.008152459223887723,103890.31106792697,103738.52304881485,431.6891733128227,-465.30850035254304,-464.0540750406514,48115.164761512555
0.009499,0.009152459223887724,103890.31106792697,103739.72222605468,479.37078828984903,-462.09696389556393,-464.0366677366385,47783.07625324744
0.010499000000000001,0.010152459223887725,103890.31106792697,103740.92140329452,527.7248682728664,-466.6377795821692,-464.0192604326227,48252.6187067963
0.011498999999999999,0.011152459223887723,103890.31106792697,103742.12058053433,575.6738224934406,-464.68232805501816,-464.0018531286127,48050.41549679533
0.012499,0.012152459223887723,103890.31106792697,103743.31975777417,623.5025316660935,-463.5194713298993,-463.9844458245998,47930.17044887393
0.013499,0.01315241419332417,103903.81089125996,103744.518935014,671.5611376807029,-464.80750357589375,-463.9670385205869,48063.359255197494
0.014499,0.014152414193324168,103903.81089126048,103745.71811225383,719.2724412106191,-462.38407370992786,-463.94963121657395,47812.764806137195
0.015498999999999999,0.015152414193324169,103903.81089125996,103746.91728949365,767.5933968011798,-466.3174427100933,-463.93222391256387,48219.494314339594
0.016499,0.01615241419332417,103903.81089125996,103748.1164667335,815.5387905279057,-464.64789550009965,-463.914816608551,48046.855002947035
0.017499,0.01715241419332417,103903.81089125996,103749.3156439733,863.3627830032655,-463.4738574500567,-463.89740930453524,47925.45375158089
0.018499,0.01815244207743476,103895.45144520706,103750.51482121315,911.4003742348781,-464.62077413308907,-463.8800020005224,48044.050521530335
0.019499,0.01915244207743476,103895.45144520706,103751.71399845296,959.1076529755553,-462.34515108222223,-463.86259469650656,47808.74001689825
0.020499,0.02015244207743476,103895.45144520706,103752.91317569281,1006.8593378158446,-462.7745902355429,-463.84518739249364,47853.14611651048
0.021499,0.021152367368123898,103917.84873314608,103754.11235293263,1054.659793668331,-463.18219684807394,-463.8277800884837,47895.29462509124
0.022498999999999998,0.022152345437686318,103924.42331293231,103755.31153017248,1102.7187032819193,-464.5056516864515,-463.81037278447076,48032.14629995794
0.023499,0.023152308811122686,103935.40368047185,103756.51070741228,1150.4376290381565,-462.36097213929116,-463.7929654804579,47810.37599124
0.024499,0.024152308811122687,103935.40368047185,103757.70988465211,1198.7242844901007,-465.98573552087987,-463.7755581764421,48185.19417572298
0.025499,0.025152308811122688,103935.40368047185,103758.90906189194,1246.6655315316302,-464.6077940501775,-463.75815087242916,48042.708317750614
0.026499,0.02615230881112269,103935.40368047185,103760.10823913178,1294.4590246415225,-463.178906490672,-463.74074356841913,47894.954386113444
0.027499,0.02715224025470863,103955.9563763534,103761.30741631916,1342.533703239299,-464.6733990864534,-463.7226907414926,48049.492197966014
0.028499,0.02815224025470863,103955.9563763534,103762.50659289783,1390.2022426205474,-461.97051341175427,-463.7052834374798,47770.00065746945
0.029499,0.029152240254708632,103955.9563763534,103763.70576947644,1438.5076348501755,-466.16693373497253,-463.687876133464,48203.93095340693
0.030499,0.03015224025470863,103955.9563763534,103764.9049460551,1486.4263145756388,-464.38955175488763,-463.67046882945675,48020.14100168429
0.031499,0.03115224025470863,103955.9563763534,103766.10412263374,1534.2055241783162,-463.04077462819276,-463.65306152544105,47880.67087889841
0.032499,0.03215230506525337,103936.52666384148,103767.30329921239,1582.2773121071962,-464.70111491049585,-463.6356542214309,48052.358149134525
0.033499,0.03315230506525337,103936.52666384148,103768.50247579104,1629.9141322332987,-461.66376523542897,-463.61824691741526,47738.281402323664
0.034499,0.03415230506525337,103936.52666384148,103769.70165236968,1678.2401908827492,-466.3667929864759,-463.6008396134051,48224.59737322929
0.035499,0.035152305065253374,103936.52666384148,103770.90082894832,1726.1284835608628,-464.0956869930716,-463.5834323093922,47989.753954334694
0.036499000000000004,0.036152305065253375,103936.52666384148,103772.10000552695,1773.9332025517303,-463.2874688923092,-463.56602500537934,47906.18026708859
0.037499,0.037152332676864255,103928.24891114444,103773.2991821056,1821.9049691581647,-464.0477533916909,-463.5486177013636,47984.79738653871
0.038499,0.038152332676864256,103928.24891114444,103774.49835868426,1869.5911708540405,-462.1413207896944,-463.5312103973507,47787.662972096936
0.039499,0.03915233267686426,103928.24891114444,103775.6975352629,1917.8436615171738,-465.6553372623425,-463.51380309334064,48151.02938691212
0.040499,0.04015233267686426,103928.24891114444,103776.89671184155,1965.9366113146198,-464.1124615115099,-463.496395789322,47991.48852122493
0.041499,0.04115233267686426,103928.24891114444,103778.09588842017,2014.0609737435743,-464.4162444151278,-463.47898848531486,48022.901152733335
0.042499,0.04215234388179498,103924.88975742237,103779.29506499882,2061.7886045879222,-462.17899097664395,-463.4615811812991,47791.558252862924
0.043498999999999996,0.04315234388179497,103924.88975742237,103780.49424157749,2110.0463247391153,-465.70591020039177,-463.444173877289,48156.258874971914
0.044499,0.044152343881794974,103924.88975742237,103781.69341815612,2157.9730888372665,-464.46773349551904,-463.426766573279,48028.22537437246
0.045499,0.045152343881794975,103924.88975742237,103782.89259473477,2205.734112704539,-462.8649053921396,-463.4093592692661,47862.48514349326
