t_s,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,ins_pos_ecef_x_m,ins_pos_ecef_y_m,ins_pos_ecef_z_m,ins_vel_ecef_x_mps,ins_vel_ecef_y_mps,ins_vel_ecef_z_mps,ins_quat_w,ins_quat_x,ins_quat_y,ins_quat_z
0.0,5.519894285752052e-06,0.0006671768544037213,-0.007304749510850092,-41.75425427197674,48.224121998294905,5.143588246425437,-1656201.7170614246,5097264.758841336,3591181.9960583495,-226.82286500164605,-4617.160284474699,6406.276788851849,0.9945218953682734,0.0,0.0,0.10452846326765354
0.005,8.712365417091453e-06,0.0006450555964462292,-0.007305575498990474,-41.753533719679524,48.22961780085207,5.142635894418938,-1656202.8505043532,5097241.673031229,3591214.0278771087,-226.55430640081983,-4617.16375837887,6406.450714740437,0.9945238040866575,-1.6062328896699855e-07,1.6602474395434358e-06,0.10451030141675745
0.01,-8.510792169709288e-06,0.0006595147363688578,-0.0073178956238782586,-41.76314291518545,48.2202536461986,5.1490552073560805,-1656203.9826044817,5097218.587203691,3591246.0605655676,-226.28574506182912,-4617.167256647514,6406.624668979239,0.9945257126865613,-3.0752936163380507e-07,3.2663286994627498e-06,0.10449213747705577
0.015,-8.76539421608689e-06,0.0006028972797932562,-0.007322519975288317,-41.77234855894074,48.22093940802652,5.145491451823563,-1656205.113361773,5097195.501358812,3591278.0941237477,-226.0171714751292,-4617.1706950341,6406.798603016908,0.9945276241697735,-5.010348835746071e-07,4.903860703522907e-06,0.10447394287058884
0.02,-1.9405424575288192e-06,0.0006493685984910816,-0.007290463605580282,-41.77721481542172,48.21575633054848,5.145507195486514,-1656206.2427760924,5097172.415496733,3591310.1285515805,-225.74855623693352,-4617.174136659718,6406.972530052233,0.9945295365259317,-6.803858616523099e-07,6.400557140508099e-06,0.10445573673133282
0.025,2.0989917772881274e-05,0.0006575204675058128,-0.007313717912756354,-41.78303138147326,48.2085705412246,5.132323550095638,-1656207.370847318,5097149.329617484,3591342.1638490055,-225.47993407744224,-4617.177563037383,6407.146440007037,0.9945314401759067,-8.549030244915569e-07,8.014578614775052e-06,0.10443761025929613
0.03,-9.320468241449644e-06,0.000648208860238875,-0.007299418054770958,-41.77302555024944,48.20982833174717,5.1311540687223705,-1656208.4975753722,5097126.243721027,3591374.2000158234,-225.21128750525466,-4617.181019600948,6407.320287036556,0.9945333495632408,-9.745363981843784e-07,9.654855267897219e-06,0.10441942593385048
0.035,-4.449281710377926e-06,0.0006623949404681681,-0.007312816070967652,-41.79558458015556,48.206892765985685,5.142490764579808,-1656209.622960309,5097103.1578072,3591406.2370519224,-224.9426872190437,-4617.184510887019,6407.494152634089,0.9945352548832788,-1.1671003689987716e-06,1.126406770993241e-05,0.10440127712825409
0.04,-1.0029498946182434e-05,0.00063499096431381,-0.007315248416284476,-41.78162218943176,48.20697004846754,5.1304810833353125,-1656210.7470020552,5097080.071876146,3591438.2749573705,-224.67401126667374,-4617.187910849694,6407.6680266924395,0.9945371633653886,-1.3512559120979547e-06,1.2909822896614127e-05,0.10438309497536973
0.045,1.161376619110737e-05,0.0006610530853879027,-0.007311911309449264,-41.79576341912329,48.19975996520832,5.1263929142929445,-1656211.8697005522,5097056.9859278845,3591470.3137321565,-224.40538756501468,-4617.191393763134,6407.841887613797,0.9945390721479684,-1.542134587181052e-06,1.4485986188094704e-05,0.10436490673993895
