case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.152798,0.800000,155.486739,20381117.026221,863.815215,0.152798,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,35.919077,51.252190
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.162839,-0.600000,-134.273448,20615491.940086,895.156318,0.162839,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-177.055403,-173.144701
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.178709,1.100000,207.461894,20939203.352714,943.008607,0.178709,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,224.732389,215.700226
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.202933,-0.900000,-182.265606,21352240.904598,1012.586699,0.202933,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-160.675715,-175.842539
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.229328,0.400000,260.244372,21724561.646817,1084.351548,0.229328,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,207.385832,201.703319
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.274373,-0.700000,-191.825289,22228061.266316,1198.908054,0.274373,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-273.252209,-268.776942
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.333328,1.600000,267.394491,22718784.723663,1336.972455,0.333328,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,249.151824,256.152808
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.390268,-1.300000,-204.458559,23067954.178900,1460.418278,0.390268,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-106.205794,-109.892789
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.212627,1.040000,126.264357,20357890.624615,1052.202977,0.212627,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2082.583919,132.753635
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.243717,-0.780000,-227.153129,20853394.750680,1135.765647,0.243717,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-721.548559,-309.336721
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.307349,1.430000,452.662327,21601649.787566,1293.320936,0.307349,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1359.133314,525.622669
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.466659,-1.170000,-980.446467,22696243.820740,1634.077445,0.466659,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-2428.261494,-1067.211306
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.827936,0.520000,2140.101807,23780789.396048,2252.738744,0.827936,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2530.101723,1154.309161
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.314283,-0.910000,3756.634190,24390855.839828,3266.638426,1.314283,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,3828.325440,1682.278279
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.069586,2.080000,-7693.743122,24810287.806486,4808.589451,2.069586,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-10545.890312,-10671.902295
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.827684,-1.690000,12926.775667,25051056.789593,5875.807121,2.827684,1867.228559,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,6613.822598,9727.686585
