mode,epoch_idx,t_s,rx_m,ry_m,rz_m,vx_mps,vy_mps,vz_mps,cb_m,cd_mps,truth_rx_m,truth_ry_m,truth_rz_m,truth_vx_mps,truth_vy_mps,truth_vz_mps,truth_cb_m,truth_cd_mps,cov_rx,cov_ry,cov_rz,cov_vx,cov_vy,cov_vz,cov_cb,cov_cd,pos_err_3d_m,vel_err_3d_mps,cb_err_m,cd_err_mps,innovation_rms_pr_m,innovation_rms_rr_mps,num_valid_sats,prediction_only,diverged,warning
epoch_wls,0,0.049999,nan,nan,nan,,,,nan,,-1653652.691578,5089117.144109,3585955.023574,-255.264573,-5260.109255,7300.263819,120.019000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,1,0.149999,nan,nan,nan,,,,nan,,-1653677.903838,5088591.127977,3586685.247195,-248.980491,-5260.212690,7304.207547,120.057000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,2,0.249999,nan,nan,nan,,,,nan,,-1653702.487717,5088065.101715,3587415.864824,-242.697634,-5260.311806,7308.143498,120.095000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,3,0.349999,nan,nan,nan,,,,nan,,-1653726.443535,5087539.065771,3588146.875536,-236.419898,-5260.406283,7312.068691,120.133000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,4,0.449999,nan,nan,nan,,,,nan,,-1653749.771998,5087013.020624,3588878.278104,-230.151182,-5260.495815,7315.980157,120.171000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,5,0.549999,-1659674.851337,5090128.073900,3580387.523507,,,,-11311.475490,,-1653772.474203,5086486.966783,3589610.071010,-223.895388,-5260.580104,7319.874947,120.209000,0.380000,,,,,,,,,11539.111722,,-11431.684490,,10563.968452,,8,,,
epoch_wls,6,0.649999,nan,nan,nan,,,,nan,,-1653794.551637,5085960.904788,3590342.252439,-217.656417,-5260.658865,7323.750128,120.247000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,7,0.749999,nan,nan,nan,,,,nan,,-1653816.006178,5085434.835204,3591074.820284,-211.438164,-5260.731822,7327.602789,120.285000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,8,0.849999,nan,nan,nan,,,,nan,,-1653836.840091,5084908.758626,3591807.772149,-205.244516,-5260.798713,7331.430043,120.323000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,9,0.949999,-1651403.718568,5080670.041393,3582805.581538,,,,-23051.672859,,-1653857.056032,5084382.675672,3592541.105350,-199.079349,-5260.859285,7335.229027,120.361000,0.380000,,,,,,,,,10704.342197,,-23172.033859,,9269.915562,,8,,,
