epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.049999,G01,0,0,18.006783,74.141959,20392591.623601,618.770038,2.800833893560e-08,0.050000,2.598701,0.148418,0.800000,20393014.411814,448.269455,618.960756,0.673828,17.584616,0.107666,1,211.241365,-0.610133,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G02,0,0,62.129330,66.178322,20626135.907809,-1880.741106,-1.700500336136e-08,-0.030000,2.732285,0.158037,-0.600000,20626553.701603,400.092341,-1880.807353,0.801407,17.584616,0.107666,1,211.241365,-0.610133,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G03,0,0,109.219277,56.160266,21041227.944853,-4276.503465,1.300333557424e-08,0.020000,3.008528,0.178313,1.100000,21041528.652114,451.010338,-4276.305316,0.807789,17.584616,0.107666,1,211.241365,-0.610133,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G04,0,0,152.236850,45.093330,21659656.241804,-5460.043915,-3.100667114848e-08,-0.040000,3.526292,0.217612,-0.900000,21660104.511241,541.405158,-5459.930545,0.788393,17.584616,0.107666,1,211.241365,-0.610133,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G05,0,0,208.187294,30.998215,22691539.878540,-4431.959732,2.200500336136e-08,0.030000,4.840890,0.324079,0.400000,22691882.890616,623.473418,-4432.570575,1.012744,17.584616,0.107666,1,211.241365,-0.610133,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G06,0,0,253.076699,21.903413,23492210.500338,-1881.305810,-8.003335574239e-09,-0.020000,6.660625,0.484979,-0.700000,23492178.241089,809.726097,-1881.379588,1.125656,17.584616,0.107666,1,211.241365,-0.610133,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G07,0,0,301.946354,14.838159,24185384.437152,1059.910437,3.600166778712e-08,0.010000,9.626218,0.776125,1.600000,24186170.909097,1102.325819,1059.772505,1.075592,17.584616,0.107666,1,211.241365,-0.610133,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G08,0,0,341.829172,10.822309,24604957.603171,2023.428476,-1.500833893560e-08,-0.050000,12.965062,1.143950,-1.300000,24605453.203664,1478.331826,2022.009438,1.576423,17.584616,0.107666,1,211.241365,-0.610133,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G01,1,0,18.020341,74.143712,20392644.758397,436.471565,2.802501714036e-08,0.050000,2.598678,0.148521,0.800000,20393060.126270,302.965593,436.109510,0.497440,17.231635,0.219690,1,109.577732,-1.004403,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G02,1,0,62.133476,66.177027,20625938.203673,-2048.152341,-1.701501028421e-08,-0.030000,2.732313,0.158151,-0.600000,20626159.189841,393.765181,-2048.791769,0.640870,17.231635,0.219690,1,109.577732,-1.004403,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G03,1,0,109.226156,56.155860,21040792.672607,-4378.124705,1.301000685614e-08,0.020000,3.008683,0.178450,1.100000,21040802.404876,359.205298,-4378.429112,0.643682,17.231635,0.219690,1,109.577732,-1.004403,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G04,1,0,152.232903,45.086807,21659107.042988,-5464.979199,-3.102001371229e-08,-0.040000,3.526691,0.217796,-0.900000,21659180.419987,434.089639,-5465.772764,0.563666,17.231635,0.219690,1,109.577732,-1.004403,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G05,1,0,208.183423,30.991924,22691098.753060,-4338.698608,2.201501028421e-08,0.030000,4.841768,0.324382,0.400000,22691305.848948,517.620552,-4339.382810,0.682197,17.231635,0.219690,1,109.577732,-1.004403,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G06,1,0,253.065839,21.898808,23492029.133843,-1718.155601,-8.010006856143e-09,-0.020000,6.661938,0.485443,-0.700000,23492452.233380,792.179377,-1718.101058,0.776280,17.231635,0.219690,1,109.577732,-1.004403,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G07,1,0,301.938925,14.837029,24185499.751922,1243.237537,3.600500342807e-08,0.010000,9.626914,0.776745,1.600000,24186272.808066,972.596770,1242.820489,0.863025,17.231635,0.219690,1,109.577732,-1.004403,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
