mode,epoch_idx,t_s,rx_m,ry_m,rz_m,vx_mps,vy_mps,vz_mps,cb_m,cd_mps,truth_rx_m,truth_ry_m,truth_rz_m,truth_vx_mps,truth_vy_mps,truth_vz_mps,truth_cb_m,truth_cd_mps,cov_rx,cov_ry,cov_rz,cov_vx,cov_vy,cov_vz,cov_cb,cov_cd,pos_err_3d_m,vel_err_3d_mps,cb_err_m,cd_err_mps,innovation_rms_pr_m,innovation_rms_rr_mps,num_valid_sats,prediction_only,diverged,warning
epoch_wls,0,0.049999,-1635812.143211,5034458.420358,3546685.800520,,,,232.284779,,-1635839.124414,5034588.062664,3546727.910197,-85.000000,120.000000,35.000000,120.019000,0.380000,,,,,,,,,138.954445,,112.265779,,70.718833,,8,,,
epoch_wls,1,0.149999,-1635932.450547,5033931.473241,3546117.401878,,,,-417.937170,,-1635847.624414,5034600.062664,3546731.410197,-85.000000,120.000000,35.000000,120.057000,0.380000,,,,,,,,,911.709112,,-537.994170,,261.932285,,8,,,
epoch_wls,2,0.249999,-1636097.592370,5034718.958786,3546844.175617,,,,367.590892,,-1635856.124414,5034612.062664,3546734.910197,-85.000000,120.000000,35.000000,120.095000,0.380000,,,,,,,,,285.783986,,247.495893,,207.143130,,8,,,
epoch_wls,3,0.349999,-1635888.564347,5034742.212937,3546723.933810,,,,128.648646,,-1635864.624414,5034624.062664,3546738.410197,-85.000000,120.000000,35.000000,120.133000,0.380000,,,,,,,,,121.417351,,8.515646,,77.738246,,8,,,
epoch_wls,4,0.449999,-1635950.001594,5034551.958703,3546801.472059,,,,-153.202971,,-1635873.124414,5034636.062664,3546741.910197,-85.000000,120.000000,35.000000,120.171000,0.380000,,,,,,,,,128.573684,,-273.373970,,56.184659,,8,,,
epoch_wls,5,0.549999,-1635899.379123,5034746.894625,3546833.915919,,,,351.110008,,-1635881.624414,5034648.062664,3546745.410197,-85.000000,120.000000,35.000000,120.209000,0.380000,,,,,,,,,133.851593,,230.901008,,105.678706,,8,,,
epoch_wls,6,0.649999,-1635946.837168,5034743.006581,3546756.237291,,,,346.998406,,-1635890.124414,5034660.062664,3546748.910197,-85.000000,120.000000,35.000000,120.247000,0.380000,,,,,,,,,100.745800,,226.751406,,153.458050,,8,,,
epoch_wls,7,0.749999,-1635778.496050,5034798.350639,3546823.227770,,,,152.367779,,-1635898.624414,5034672.062664,3546752.410197,-85.000000,120.000000,35.000000,120.285000,0.380000,,,,,,,,,188.134540,,32.082779,,88.826698,,8,,,
epoch_wls,8,0.849999,-1635510.175900,5035400.767928,3547202.002154,,,,343.743310,,-1635907.124414,5034684.062664,3546755.910197,-85.000000,120.000000,35.000000,120.323000,0.380000,,,,,,,,,932.862580,,223.420310,,228.941094,,8,,,
epoch_wls,9,0.949999,-1636129.697029,5037470.815453,3548011.894696,,,,2085.010737,,-1635915.624414,5034696.062664,3546759.410197,-85.000000,120.000000,35.000000,120.361000,0.380000,,,,,,,,,3051.851495,,1964.649737,,298.770424,,8,,,
