mode,epoch_idx,t_s,rx_m,ry_m,rz_m,vx_mps,vy_mps,vz_mps,cb_m,cd_mps,truth_rx_m,truth_ry_m,truth_rz_m,truth_vx_mps,truth_vy_mps,truth_vz_mps,truth_cb_m,truth_cd_mps,cov_rx,cov_ry,cov_rz,cov_vx,cov_vy,cov_vz,cov_cb,cov_cd,pos_err_3d_m,vel_err_3d_mps,cb_err_m,cd_err_mps,innovation_rms_pr_m,innovation_rms_rr_mps,num_valid_sats,prediction_only,diverged,warning
epoch_wls,0,0.049999,nan,nan,nan,,,,nan,,-1635839.124414,5034588.062664,3546727.910197,-85.000000,120.000000,35.000000,120.019000,0.380000,,,,,,,,,nan,,nan,,nan,,0,,,insufficient valid pseudorange satellites for epoch WLS
epoch_wls,1,0.149999,-1635595.813911,5034572.881835,3546783.821280,,,,-2.871588,,-1635847.624414,5034600.062664,3546731.410197,-85.000000,120.000000,35.000000,120.057000,0.380000,,,,,,,,,258.639225,,-122.928588,,241.231062,,8,,,
epoch_wls,2,0.249999,-1636090.109172,5034314.964208,3546745.009816,,,,-39.043021,,-1635856.124414,5034612.062664,3546734.910197,-85.000000,120.000000,35.000000,120.095000,0.380000,,,,,,,,,378.309875,,-159.138020,,266.840099,,8,,,
epoch_wls,3,0.349999,-1635880.797212,5034287.987068,3546669.241484,,,,-204.241162,,-1635864.624414,5034624.062664,3546738.410197,-85.000000,120.000000,35.000000,120.133000,0.380000,,,,,,,,,343.500620,,-324.374162,,119.961621,,8,,,
epoch_wls,4,0.449999,-1635951.733950,5034223.495948,3546620.096956,,,,-370.781234,,-1635873.124414,5034636.062664,3546741.910197,-85.000000,120.000000,35.000000,120.171000,0.380000,,,,,,,,,437.297633,,-490.952233,,132.670668,,8,,,
epoch_wls,5,0.549999,-1635925.250803,5034366.327722,3546493.120011,,,,-1.339321,,-1635881.624414,5034648.062664,3546745.410197,-85.000000,120.000000,35.000000,120.209000,0.380000,,,,,,,,,380.694335,,-121.548320,,189.443270,,8,,,
epoch_wls,6,0.649999,-1635977.007010,5035826.721504,3547012.088412,,,,969.012391,,-1635890.124414,5034660.062664,3546748.910197,-85.000000,120.000000,35.000000,120.247000,0.380000,,,,,,,,,1199.126435,,848.765391,,291.564132,,8,,,
epoch_wls,7,0.749999,-1635878.818929,5035320.448331,3547001.797705,,,,613.863091,,-1635898.624414,5034672.062664,3546752.410197,-85.000000,120.000000,35.000000,120.285000,0.380000,,,,,,,,,694.975079,,493.578091,,92.035266,,8,,,
epoch_wls,8,0.849999,-1636085.696803,5034764.588242,3546859.465367,,,,252.464252,,-1635907.124414,5034684.062664,3546755.910197,-85.000000,120.000000,35.000000,120.323000,0.380000,,,,,,,,,221.576488,,132.141252,,182.040238,,8,,,
epoch_wls,9,0.949999,-1635922.386232,5034366.821994,3546769.571396,,,,-415.349890,,-1635915.624414,5034696.062664,3546759.410197,-85.000000,120.000000,35.000000,120.361000,0.380000,,,,,,,,,329.466828,,-535.710890,,155.567527,,8,,,
