case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.149621,0.800000,0.423704,20380961.960009,2.353911,0.149621,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.097880,0.139663
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.159453,-0.600000,-0.365897,20615625.844250,2.439316,0.159453,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.482478,-0.471822
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.174992,1.100000,0.565337,20938996.452442,2.569714,0.174992,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.612399,0.587787
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.198713,-0.900000,-0.496677,21352422.669307,2.759315,0.198713,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.437844,-0.479174
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.224559,0.400000,0.709170,21724302.106846,2.954876,0.224559,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.565130,0.549645
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.268668,-0.700000,-0.522727,22228252.563172,3.267044,0.268668,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.744616,-0.732421
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.326396,1.600000,0.728654,22718518.050894,3.643272,0.326396,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,0.678943,0.698021
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.382152,-1.300000,-0.557153,23068158.072190,3.979664,0.382152,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-0.289414,-0.299461
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.208206,1.040000,0.344072,20357764.699909,2.867271,0.208206,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,5.676165,0.361789
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.238649,-0.780000,-0.618996,20853621.279745,3.094980,0.238649,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1.965739,-0.842937
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.300957,1.430000,1.233512,21601198.352359,3.524321,0.300957,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-3.704184,1.432261
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.456955,-1.170000,-2.671733,22697221.585770,4.452888,0.456955,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-6.617589,-2.908226
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.810718,0.520000,5.831813,23778655.108837,6.138750,0.810718,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,6.895352,3.145595
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.286952,-0.910000,10.236890,24387109.415197,8.901644,1.286952,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,10.433654,4.584348
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.026548,2.080000,-20.965577,24817960.540992,13.103486,2.026548,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-28.737471,-29.081106
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.768881,-1.690000,35.225677,25038165.180800,16.011672,2.768881,5.088229,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,18.019812,26.508033
