t_s,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,ins_pos_ecef_x_m,ins_pos_ecef_y_m,ins_pos_ecef_z_m,ins_vel_ecef_x_mps,ins_vel_ecef_y_mps,ins_vel_ecef_z_mps,ins_quat_w,ins_quat_x,ins_quat_y,ins_quat_z
0.0,-3.032292779140425e-06,0.0006174884688832913,-0.007402106294604683,-45.3032980926654,51.87030030544768,5.143978462059402,-1658763.5840503734,5105149.374697655,3596773.925093057,-242.6143302865707,-4938.608152381165,6852.28340073394,0.9945218953682734,0.0,0.0,0.10452846326765354
0.005,-1.259921336536716e-06,0.0006052531059321572,-0.007423305301658262,-45.29750372498739,51.857290696653,5.142022567038793,-1658764.7963942378,5105124.681645746,3596808.186974191,-242.32321545342876,-4938.612611320975,6852.469052845258,0.9945238295237936,-1.6890200574059643e-07,1.5344721037554702e-06,0.10451005935767786
0.01,-1.1077734634165977e-05,0.000613740579647272,-0.007411906183933949,-45.3192288179427,51.86791713102118,5.133032103849236,-1658766.0072826606,5105099.988571549,3596842.4497834747,-242.03215364007767,-4938.617067541647,6852.654660587179,0.9945257688742652,-3.302006323894205e-07,3.038986374597473e-06,0.10449160270427063
0.015,2.1663270244909583e-05,0.0006010250629770099,-0.007375903520709644,-45.32400228170095,51.86359867810482,5.143820771870463,-1658767.216715468,5105075.295475015,3596876.713520817,-241.7409694446783,-4938.621545890473,6852.840276433513,0.9945277049025764,-5.181265174600773e-07,4.562038484484562e-06,0.10447317435654645
0.02,2.303571620592811e-06,0.0006043532237995239,-0.0073944823234893455,-45.32097584589864,51.86242964816686,5.1374686675941446,-1658768.4246923702,5105050.602356227,3596910.9781862823,-241.44979140081756,-4938.62596930178,6853.025909684242,0.9945296311856798,-6.213263246419156e-07,6.0620271971931515e-06,0.104454835486642
0.025,-1.9064787262465788e-05,0.0006156956752028795,-0.007409321865015328,-45.32221413002621,51.857870019468685,5.130926236967074,-1658769.6312134154,5105025.909215232,3596945.2437798865,-241.15862663823862,-4938.63042856601,6853.2115318734295,0.9945315619790405,-7.73530004235783e-07,7.565235230013277e-06,0.10443645038825704
0.03,6.584794539306068e-06,0.000612177070380719,-0.007380811543866189,-45.3385794834975,51.84885934462254,5.140561186953577,-1658770.8362786372,5105001.216051891,3596979.5103015285,-240.867462064016,-4938.634907937744,6853.397125058819,0.9945334963037497,-9.818241458907228e-07,9.091065207428732e-06,0.1044180283582684
0.035,1.1128231406396988e-06,0.0006222981538452139,-0.00740496594812342,-45.336280679706135,51.84101711413526,5.145374180557574,-1658772.0398879396,5104976.5228663655,3597013.7777511,-240.57625891560508,-4938.639302302053,6853.582703412282,0.9945354228438522,-1.1254257041745291e-06,1.0614842522706856e-05,0.10439967717794316
0.04,2.406334712119603e-05,0.0006219112420879711,-0.007405926118829108,-45.335903041323924,51.84170568642107,5.131975254337708,-1658773.2420413177,5104951.829658931,3597048.046128544,-240.28509232675907,-4938.643671795911,6853.768274239681,0.9945373553458555,-1.2852746711812809e-06,1.2162356026303614e-05,0.10438126590579717
0.045,1.4626324214495068e-05,0.0005996112608777906,-0.007387530692550566,-45.335988251429725,51.84038641693794,5.139754349378564,-1658774.4427388355,5104927.136429491,3597082.315433779,-239.99391476105345,-4938.648103725691,6853.953819588059,0.9945392877552149,-1.3879598175355795e-06,1.3714896538992989e-05,0.1043628522096108
0.05,4.505212609992459e-06,0.0006289277373831398,-0.007384647301278802,-45.34088797948491,51.8388892768563,5.138844780218242,-1658775.6419805097,5104902.44317796,3597116.5856668027,-239.70275496728894,-4938.652509044821,6854.139390145779,0.9945412150234058,-1.5082898336746216e-06,1.5209529405653392e-05,0.10434448421533034
0.055,6.925743798262764e-06,0.0005929093726153136,-0.007384843780126423,-45.350197901448134,51.83468944738031,5.137975480777905,-1658776.8397663487,5104877.749904408,3597150.8568276702,-239.41158058211585,-4938.65691167543,6854.324956714724,0.9945431411968279,-1.6614319277899486e-06,1.67744131829445e-05,0.1043261233546288
0.06,-1.3729319552858323e-06,0.0005853754591281414,-0.00740697201695755,-45.360110910294466,51.8283072232065,5.13714903214467,-1658778.0360962423,5104853.056608888,3597185.1289163237,-239.12037688924525,-4938.661296178751,6854.510504665898,0.9945450670817126,-1.799161581932994e-06,1.8250373721164014e-05,0.10430776196965653
