frequency_hz,amplitude_median,attenuation_db_median,phase_rad_median,group_delay_ns_median,receiver_tau_rmse_ns,receiver_fd_rmse_hz,peak_to_second_db,post_corr_snr_median_db,carrier_lock_metric_median,loss_fraction
19000000000.0,0.8715066214703807,-1.1945861778718492,-53.3582576571016,0.48964083779621237,1141.4146034529545,111.94739165037308,0.18762251224052628,16.314272622688918,0.8573171982711241,0.08115756801168524
19500000000.0,0.8783985095803575,-1.1261683346903197,-54.900593691093135,0.4883483208456508,636.4385225897491,112.32775760904502,0.04978596484827928,16.387220434566178,0.8634437402332876,0.07444769034142779
20000000000.0,0.8848822300886963,-1.0622907763892775,-56.43247339583892,0.48730458877285143,897.4671882872775,112.64282118440643,0.046653268763457746,16.463623384216792,0.8651922358436535,0.07093299251415008
20500000000.0,0.8914072015014137,-0.9984772359554176,-57.958231440766625,0.48619355233496153,700.2590978522486,110.63274694247315,0.11913186526441895,16.5372043080365,0.8762376040880966,0.062077779806463396
21000000000.0,0.8972035124002851,-0.9421815751894366,-59.481466587471786,0.4851211668788995,620.9702543414796,106.98652360096044,0.012523359703015232,16.58897212513524,0.8874710649293829,0.05632645608909987
21500000000.0,0.9024878239539345,-0.8911730282355349,-61.0055265891408,0.4841792299550395,605.6417888831962,108.14752418084602,0.0698153850354479,16.634371535729287,0.8876009889892098,0.04824721562899398
22000000000.0,0.9072197786629228,-0.845749915329895,-62.52375283565612,0.483276442146732,749.0331012248824,112.36133348171006,0.14566097035331715,16.69573239546841,0.8816695875213449,0.04226766477998904
22500000000.0,0.912109178984261,-0.7990636830407809,-64.03847006970109,0.4824546206254051,626.0641621519142,106.47564434969598,0.0819317937022414,16.78243454914843,0.8953966367119802,0.03601424137301443
23000000000.0,0.916180350364837,-0.7603805496526149,-65.55094018855836,0.4816065475287553,574.1626116872833,110.17044728733158,0.09490012128098094,16.783686476224943,0.893765968332924,0.029806463392368084
23500000000.0,0.9197428745955266,-0.7266713703035601,-67.06132285947412,0.48088753675282514,590.5885938692118,106.5338302075669,0.1733041448027238,16.85376182115205,0.9015132717096106,0.028391455176191346
24000000000.0,0.9231789333927474,-0.694282290501789,-68.56976258199674,0.4802157243913821,584.7145620101513,101.98931935581426,0.026678179739227544,16.906926744264084,0.9144062341638617,0.02040350556874201
24500000000.0,0.9264816717774038,-0.6632634014192873,-70.07639049091753,0.4796359314753151,533.6623574160452,100.26412479053529,0.022997948088424425,16.946727204035604,0.9138791942569446,0.01656928975716633
25000000000.0,0.9294784481540321,-0.6352135214041466,-71.58132590228261,0.4790425897807988,566.5005828869126,103.53157630765725,0.044968966789367834,16.947712468344303,0.9110259011957462,0.014926054409348183
25500000000.0,0.9324174517834394,-0.6077921452137047,-73.08467764506008,0.4784615392548645,540.3928378562833,104.03847023158716,0.014568361170860314,17.01964387803925,0.9124645833595326,0.012141683403322986
26000000000.0,0.9351206336318664,-0.5826472168883008,-74.58654521302302,0.4779557692161668,535.32302881718,105.13498877650218,0.1101714654565268,17.032399262396254,0.9113855009094973,0.01077232061347453
26500000000.0,0.9375646768676867,-0.5599752783425789,-76.08701976507277,0.477519901788794,544.4901409168792,105.86023613637288,0.08484899696865608,17.050910865270296,0.9118595000236922,0.009129085265656381
27000000000.0,0.9398726630019318,-0.5386196531688049,-77.58618499718926,0.4771120258700673,526.7828469998454,100.42983198348259,0.027105638314733005,17.10580268600996,0.9200469943692101,0.0077597224758079245
27500000000.0,0.9420545526354848,-0.5184789571055577,-79.08411790516072,0.4767199695485782,532.2863234117302,96.58492627877278,0.17334058685053627,17.138408136585365,0.92658367511455,0.006572941391272595
28000000000.0,0.9441290727106789,-0.49937258379968386,-80.58088945399723,0.47633323735405786,534.355569783152,95.49919107883969,0.1335228276310316,17.144669274221584,0.9239093257230984,0.006253423406974621
28500000000.0,0.9461550420306459,-0.4807538449448957,-82.07656516729806,0.4759906375554994,538.7737357620576,100.26781928442449,0.02870165717595447,17.15755499834834,0.920271879204605,0.0061621325543180575
29000000000.0,0.9480699516818953,-0.4631924017570853,-83.57120564769738,0.47565518056375217,535.4684626485031,96.97153077306263,0.03732719072893388,17.205489425926515,0.9244386250594956,0.006390359685959467
29500000000.0,0.9498280483192993,-0.4471002422839916,-85.06486703775482,0.47533450200751487,537.601427460451,95.75936200771396,0.01288663171998948,17.23862639242814,0.9266409725453595,0.006344714259631185
30000000000.0,0.9514971312035192,-0.43185037821610334,-86.55760142920997,0.4750328122325864,533.469749157302,103.08209297516055,0.03252913348921338,17.23296883346225,0.9220735227750556,0.005614387438378675
30500000000.0,0.9530840560020242,-0.41737595337825145,-88.04945722732262,0.47475732818023864,542.7246794335466,96.2786923238074,0.024600468496530588,17.273978522327383,0.9266105146037735,0.005614387438378675
31000000000.0,0.9545941456492688,-0.4036247070085944,-89.54047947602507,0.4744984031629851,519.1472886677668,96.58474413826742,0.0672264545397668,17.300463040193293,0.9258224558020534,0.005066642322439292
