frequency_hz,amplitude_median,attenuation_db_median,carrier_lock_metric_median,group_delay_ns_median,loss_fraction,peak_to_second_db,phase_rad_median,post_corr_snr_median_db,receiver_fd_rmse_hz,receiver_tau_rmse_ns
19000000000.0,0.8715066214703774,-1.1945861778718825,0.07553881365901649,0.48964083779621237,0.1909804637575315,0.26941833532916326,-53.3582576571016,15.234369221023961,3619.5792771485217,8986.464264091263
19500000000.0,0.8783985095803515,-1.1261683346903792,0.09746659078385204,0.4883483208457639,0.1821252510498448,0.08736000052884738,-54.900593691093135,15.385939973134487,3662.7234984244087,9478.360403025852
20000000000.0,0.8848822300886947,-1.0622907763892921,0.08895227191726218,0.48730458877296456,0.17792587182764286,0.0975649928519358,-56.43247339583891,15.48871755325975,3609.9087091086712,9870.317575344912
20500000000.0,0.8914072015014125,-0.998477235955429,0.0848122211378643,0.4861935523349049,0.18162315136023371,0.0644103490238718,-57.958231440766625,15.573043062241675,3456.7169830019006,9885.874319223349
21000000000.0,0.8972035124002696,-0.9421815751895855,0.08153569884851478,0.4851211668788995,0.17267664779989045,0.1552893883978638,-59.481466587471786,15.658756034024941,3614.5564191856697,8644.393802366149
21500000000.0,0.9024878239539377,-0.8911730282355046,0.06627698358363614,0.4841792299550395,0.17194632097863793,0.14515056636577625,-61.0055265891408,15.788517074816902,3253.531102529877,8496.520196592852
22000000000.0,0.9072197786629328,-0.8457499153297998,0.12504401756805356,0.483276442146732,0.16194997261274421,0.289519026588981,-62.52375283565612,15.857978259090324,3200.8723153544106,8397.72730164403
22500000000.0,0.9121091789842457,-0.7990636830409263,0.10685589936541748,0.48245462062534855,0.16026109183859777,0.022534088267826907,-64.03847006970109,15.94996867459271,3209.141092097958,8812.868070422825
23000000000.0,0.9161803503648456,-0.7603805496525338,0.09631754826104752,0.4816065475287553,0.15811575680116852,0.16226819178064208,-65.55094018855836,15.99865583753843,3080.40366344629,8664.310315088054
23500000000.0,0.9197428745955236,-0.7266713703035883,0.0048424672363135066,0.48088753675282514,0.5069837502282272,0.040250737152323225,-67.0613228594741,0.5704764690553361,20905.440124660458,32103.428497832832
24000000000.0,0.9231789333927081,-0.6942822905021588,0.09139787517932685,0.4802157243913821,0.15670074858499178,0.09645689528856527,-68.56976258199674,16.114852124958613,3002.6068595371994,7800.920733608593
24500000000.0,0.9264816717773945,-0.6632634014193758,0.12819651833473994,0.4796359314753151,0.15423589556326456,0.022997948088423464,-70.07639049091753,16.213890413343,3155.54626702921,8493.202064837682
25000000000.0,0.9294784481540237,-0.6352135214042248,0.08260860658683034,0.4790425897809119,0.15610735804272413,0.20124614597778334,-71.58132590228261,16.236326062023185,3173.269546842606,8757.080842837539
25500000000.0,0.9324174517834212,-0.6077921452138738,0.021484647505382284,0.4784615392548645,0.4772229322621873,0.21381776901226893,-73.08467764506008,0.9875024307520182,20252.1253431937,25456.582960708667
26000000000.0,0.9351206336318751,-0.5826472168882197,0.21507372630189633,0.4779557692161668,0.027706773781267117,0.03747813457359822,-74.58654521302302,16.87751148713098,133.92423548284685,546.6927490111982
26500000000.0,0.9375646768677108,-0.5599752783423556,-0.003580414862330703,0.47751990178890713,0.5145608909987219,0.15315502028081845,-76.08701976507277,0.4862070395308633,21913.491947562237,31329.194430373016
27000000000.0,0.939872663001924,-0.5386196531688778,0.2249583827654601,0.4771120258701804,0.023142231148438927,0.027105638314732047,-77.58618499718926,16.93595394803468,133.6333655642676,545.254355209964
27500000000.0,0.9420545526354769,-0.518478957105631,0.0208654507073173,0.4767199695485782,0.45581522731422314,0.02427975353940391,-79.08411790516072,1.373466520836124,18794.11672859634,29261.96984790885
28000000000.0,0.944129072710693,-0.4993725837995537,0.21819385790811768,0.47633323735405786,0.02318787657476721,0.20450523938157644,-80.58088945399723,16.995600341528863,132.32389297556037,540.579721323544
28500000000.0,0.9461550420306596,-0.48075384494477036,0.007487685087427741,0.4759906375554994,0.48566733613291946,0.12707726746058962,-82.07656516729806,0.9302251823771479,20283.590319662035,58960.92648277039
29000000000.0,0.948069951681904,-0.4631924017570065,0.22043017021881828,0.47565518056375217,0.02186415921124703,0.19932794645752275,-83.57120564769738,17.051734031230666,132.74690436095602,546.8090992385444
29500000000.0,0.949828048319272,-0.4471002422842409,0.02537547105486948,0.47533450200740174,0.46786561986488956,0.012886631719990443,-85.06486703775481,1.1644801403657428,19629.661636817913,32831.96204959484
30000000000.0,0.951497131203517,-0.4318503782161231,0.19631562907971178,0.4750328122325864,0.02177286835859047,0.1848376945881701,-86.55760142920997,17.096731591324662,133.5885380820035,543.5023188838104
30500000000.0,0.9530840560020217,-0.4173759533782737,0.21672194662206823,0.47475732818012556,0.02058608727405514,0.2347356914027619,-88.04945722732262,17.12572715077801,133.38061866486368,541.016365324701
31000000000.0,0.9545941456492872,-0.4036247070084267,0.002557567758067523,0.4744984031629851,0.5024192075953989,0.06722645453977155,-89.54047947602507,0.6760871640447446,21258.793046750812,33180.16027872376
