case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.152217,0.800000,179.744882,20381141.283784,998.582677,0.152217,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,41.522944,59.248266
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.162220,-0.600000,-155.222016,20615470.990899,1034.813438,0.162220,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-204.678595,-200.157753
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.178029,1.100000,239.828900,20939235.719041,1090.131365,0.178029,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,259.793851,249.352533
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.202162,-0.900000,-210.701633,21352212.467799,1170.564629,0.202162,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-185.743381,-203.276462
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.228456,0.400000,300.846196,21724602.247769,1253.525815,0.228456,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,239.740959,233.171905
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.273330,-0.700000,-221.752762,22228031.337799,1385.954766,0.273330,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-315.883480,-310.709988
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.332060,1.600000,309.111835,22718826.439740,1545.559177,0.332060,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,288.023015,296.116257
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.388784,-1.300000,-236.357003,23067922.278972,1688.264304,0.388784,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-122.775311,-127.037570
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.211819,1.040000,145.963393,20357910.322843,1216.361609,0.211819,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2407.424349,153.462871
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.242790,-0.780000,-262.592249,20853359.310633,1312.961245,0.242790,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-834.153097,-357.598337
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.306180,1.430000,523.284090,21601720.408160,1495.097400,0.306180,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1571.142695,607.631902
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.464885,-1.170000,-1133.410063,22696090.855369,1889.016772,0.464885,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-2807.069230,-1233.707620
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.824787,0.520000,2473.988133,23781123.279227,2604.198035,0.824787,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2924.781593,1334.392273
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.309285,-0.910000,4342.722565,24391441.923205,3776.280491,1.309285,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,4425.505528,1944.730175
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.061716,2.080000,-8894.076498,24809087.465240,5558.797811,2.061716,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-12191.216116,-12336.871143
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.816931,-1.690000,14943.536564,25053073.539737,6792.516620,2.816931,2158.542777,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,7645.869668,11245.348982
