receive_time_s,transmit_time_est_s,pseudorange_m,pseudorange_true_m,carrier_phase_cycles,range_rate_mps,range_rate_true_mps,doppler_hz_compat
0.000499,0.00015280000000000024,103788.14895959992,103728.93016614571,47.804038723778916,-598.404483196625,-599.5858771515735,47905.5
0.0014990000000000001,0.0011528000000000003,103788.14895959996,103730.12934862265,96.10530122857472,-602.0807035594099,-599.5633927172236,48199.801228574725
0.002499,0.0021528000000000003,103788.14895959989,103731.3285310996,143.7204599878874,-596.0451169960298,-599.5409082828699,47716.620035533764
0.003499,0.0031528000000000003,103788.14895959989,103732.52771357654,191.7635599017926,-598.8559036557957,-599.5184238485273,47941.638637684126
0.0044989999999999995,0.0041528,103788.14895959989,103733.72689605346,239.90267929263862,-600.0553167811277,-599.4959394141736,48037.65811462496
0.005499,0.005152726016901109,103810.32853466716,103734.92607853039,287.7834960164479,-598.4259539539779,-599.4734549798235,47907.218849699915
0.006499,0.006152705648312005,103816.43488406026,103736.12526100733,336.02874493452197,-601.4549288281786,-599.4509705454773,48149.70459288968
0.0074990000000000005,0.007152705648312006,103816.43488406026,103737.32444348428,383.70563289216835,-596.8161981668143,-599.4284861111236,47778.34923386746
0.008499,0.008152705648312006,103816.43488406,103738.5236259612,432.09050928872165,-603.1251541482815,-599.4060016767736,48283.415120332196
0.009499,0.009152545845983732,103864.34241684756,103739.72280843815,480.1020691678503,-600.5836774157879,-599.3835172424235,48079.95622751426
0.010499000000000001,0.010152545845983733,103864.34241684756,103740.92199091509,527.9535031679193,-598.9965142956498,-599.3610328080772,47952.89527629009
0.011498999999999999,0.01115254584598373,103864.34241684756,103742.121173392,575.819926273704,-599.1837484975558,-599.3385483737236,47967.88438200583
0.012499,0.012152258644385822,103950.44328982655,103743.32035586894,623.8359241231731,-600.0038726026518,-599.3160639393772,48033.5397312218
0.013499,0.013152258644385822,103950.44328982655,103744.51953834588,671.5941965793728,-597.8328006194998,-599.2935795050199,47859.733732420966
0.014499,0.014152258644385822,103950.44328982655,103745.71872082283,719.9176565701193,-602.3579801791835,-599.2710950706736,48221.998714525376
0.015498999999999999,0.01515225864438582,103950.44328982655,103746.91790329975,767.8902196929799,-600.509580856361,-599.2486106363272,48074.02439908166
0.016499,0.01615225864438582,103950.44328982655,103748.1170857767,815.7254109055424,-598.7936199126767,-599.2261262019736,47936.652488783555
0.017499,0.017152119904325462,103992.03651354507,103749.31626825362,863.6451700703382,-599.4295532499473,-599.2036417676236,47987.562375564274
0.018499,0.0181520486899125,104013.38605745255,103750.51545073056,911.5574943065892,-599.0218938786696,-599.1811573332736,47954.92704852526
0.019499,0.019151902761918697,104057.13416940482,103751.7146332075,959.6521202256092,-600.2795403061426,-599.1586728989236,48055.60841476347
0.020499,0.020151902761918698,104057.13416940482,103752.91381568443,1007.9171160790543,-601.6276840364145,-599.1361884645735,48163.53457722391
0.021499,0.021152008672679558,104025.38292207815,103754.11299816138,1055.810798066195,-598.1975749277722,-599.1137040302236,47888.935879322664
0.022498999999999998,0.022152008672679555,104025.38292207815,103755.3121806383,1104.0680534372073,-601.5309949424686,-599.091219595866,48155.794094790894
0.023499,0.023152008672679556,104025.38292207815,103756.51136311523,1151.6964141695314,-596.2100274935118,-599.0687351615272,47729.82200854526
0.024499,0.024152008672679557,104025.38292207815,103757.71054559217,1199.6927395619905,-598.2716266242917,-599.0462507271735,47894.86411623804
0.025499,0.025152008672679558,104025.38292207815,103758.9097280691,1247.8365754760734,-600.1142325350604,-599.0237662928236,48042.3746378618
0.026499,0.026151927707299717,104049.65573231375,103760.10891054606,1295.6799613493545,-598.0187442751994,-599.0012818584736,47874.619522966066
0.027499,0.027151927707299715,104049.65573231375,103761.30809293337,1343.94574436213,-601.637516721017,-598.9777116471073,48164.321736554186
0.028499,0.028151927707299716,104049.65573231375,103762.50727428042,1391.555909408058,-595.982738762273,-598.9552272127463,47711.62632214901
0.029499,0.029151927707299716,104049.65573231375,103763.70645562747,1439.5725826130838,-598.5257983219719,-598.9327427784074,47915.21192880485
0.030499,0.030152048669834067,104013.39207681398,103764.90563697452,1487.5739257352996,-599.1094785608976,-598.9102583440499,47961.938673792596
0.031499,0.03115183077974396,104078.71388250175,103766.10481832156,1535.5507206242532,-599.3253379740225,-598.8877739097073,47979.21938175156
0.032499,0.032151913496220166,104053.91610678265,103767.30399966861,1583.3796930259873,-598.3493851719027,-598.86528947535,47901.08910653671
0.033499,0.03315193759104426,104046.69266024235,103768.50318101568,1631.5610325196665,-601.0723831810565,-598.8428050410038,48119.079754652645
0.034499,0.03415193759104426,104046.69266024235,103769.70236236273,1679.2181156098168,-596.5688085873546,-598.8203206066537,47758.54436637132
0.035499,0.03515193759104426,104046.69266024235,103770.90154370977,1727.214087744449,-598.2672139562817,-598.7978361723073,47894.51085841112
0.036499000000000004,0.03615192881387682,104049.32398884474,103772.10072505681,1775.2139292771947,-599.1417081631208,-598.77535173795,47964.5188269376
0.037499,0.037152047343073404,104013.78982965436,103773.29990640386,1823.1561653788244,-599.0886765917857,-598.7528673036037,47960.27336419135
0.038499,0.03815196892854582,104037.2979136224,103774.49908775093,1871.0805497006759,-599.0849467450283,-598.7303828692537,47959.974769881235
0.039499,0.039152088235810144,104001.53049559318,103775.69826909798,1919.08977784052,-599.7382836744514,-598.7078984349037,48012.27790789464
0.040499,0.040152088235810145,104001.53049559318,103776.89745044503,1967.425149319808,-602.5067707803638,-598.6854140005537,48233.91020306699
0.041499,0.041152088235810146,104001.53049559318,103778.09663179205,2015.0356373150025,-595.9867728353735,-598.6629295662074,47711.9492714155
0.042499,0.04215191463972291,104053.57329328432,103779.29581313912,2063.006486615591,-598.2650885758018,-598.6404451318537,47894.3407102631
0.043498999999999996,0.043151914639722906,104053.57329328432,103780.49499448617,2111.1619269081484,-600.2591869161622,-598.6179606975037,48053.979016336336
0.044499,0.04415200788572919,104025.61884386164,103781.69417583323,2158.9866877820104,-597.7204009729413,-598.5954762631574,47850.735535683794
0.045499,0.04515200788572919,104025.61884386164,103782.89335718028,2207.2725429316015,-601.8882448557404,-598.5729918288073,48184.393873370114
0.046499,0.04615200788572919,104025.61884386164,103784.09253852734,2255.26923847259,-600.8110273958656,-598.5505073944537,48098.15681720977
0.047499,0.04715194968521028,104043.0669204829,103785.29171987438,2303.1013933125123,-598.5251267172781,-598.5280229601037,47915.15816323396
0.048499,0.048151949685210284,104043.0669204829,103786.49090122142,2350.9826682452076,-599.3692679015253,-598.5055385257538,47982.736208916256
0.049499,0.049151949685210285,104043.0669204829,103787.69008256847,2398.7672889547885,-598.161925938044,-598.4830540914037,47886.081985801844
0.050499,0.050152022291329194,104021.3001536294,103788.88926391554,2446.722460255428,-599.7667341695376,-598.4605696570572,48014.55552317097
0.051499,0.051152022291329195,104021.3001536294,103790.08844526259,2494.482938400515,-597.8603526567111,-598.4380852227074,47861.93942130815
0.052499000000000004,0.05215197424405343,104035.70436453243,103791.28762660963,2542.671446969271,-601.2151669023663,-598.4156007883537,48130.5103601265
0.053499,0.05315197424405342,104035.70436453243,103792.48680795668,2590.291939592756,-596.1117441731471,-598.3931163540037,47721.95389970594
0.054499,0.05415197424405342,104035.70436453243,103793.68598930373,2638.6551760452367,-602.9097630506252,-598.3706319196536,48266.171903547365
0.055499,0.05515197424405342,104035.70436453243,103794.88516874447,2686.940949126447,-601.9362823272041,-598.3453117779452,48188.23953153918
0.056499,0.05615192010969398,104051.93343721316,103796.08434720154,2734.895329909025,-598.416064977482,-598.3228273435915,47906.42718390057
0.057499,0.05715192010969398,104051.93343721316,103797.28352565863,2783.122616054051,-601.1566387790273,-598.3003429092414,48125.82486880525
0.058499,0.05815192010969398,104051.93343721316,103798.48270411571,2830.7434411398517,-596.1158970770986,-598.277858474899,47722.2863620217
0.059498999999999996,0.05915192010969397,104051.93343721316,103799.6818825728,2879.127491923962,-603.1148411323046,-598.2553740405415,48282.589507889854
0.060499,0.060151920109693974,104051.93343721316,103800.88106102987,2927.4031207809244,-601.7605046305905,-598.2328896061952,48174.167580740715
0.061499,0.06115181909750187,104082.21613057193,103802.08023948695,2975.370199164136,-598.5996388927277,-598.2104051718452,47921.12326396639
0.062499,0.0621518682254337,104067.48794713311,103803.27941794402,3023.525342163138,-600.6372015157926,-598.1879207374989,48084.24111983172
0.063499,0.0631518682254337,104067.48794713311,103804.47859640111,3071.205923867278,-596.8623380560103,-598.1654363031415,47782.04298036159
0.064499,0.0641518682254337,104067.48794713311,103805.6777748582,3119.5566559026893,-602.6986449002137,-598.1429518687914,48249.270759190105
